"change","path","old_path","decision","evidence"
"M","veilbreakers_terrain/handlers/terrain_iteration_metrics.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_karst.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"A","veilbreakers_terrain/handlers/terrain_lava.py","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","veilbreakers_terrain/handlers/terrain_live_preview.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_macro_color.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_mask_cache.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_masks.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_master_registrar.py","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","veilbreakers_terrain/handlers/terrain_materials.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_materials_ext.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_materials_v2.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_math.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_multiscale_breakup.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_navmesh_export.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_palette_extract.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_pass_dag.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_pipeline.py","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","veilbreakers_terrain/handlers/terrain_protocol.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_quality_profiles.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_quixel_ingest.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_readability_semantic.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_rhythm.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_rng.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_roughness_driver.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_saliency.py","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"D","veilbreakers_terrain/handlers/terrain_scatter_altitude_safety.py","","needs-manual-review","Deleted handler module. Not safe to salvage or remove from PR14 without focused runtime review and matching tests."
"M","veilbreakers_terrain/handlers/terrain_scatter_points.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_scene_read.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_sculpt.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_semantics.py","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","veilbreakers_terrain/handlers/terrain_shadow_clipmap_bake.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_stratigraphy.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"A","veilbreakers_terrain/handlers/terrain_talus.py","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","veilbreakers_terrain/handlers/terrain_twelve_step.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_unity_export.py","","defer-unity","Needs Unity compile/import proof before salvage."
"M","veilbreakers_terrain/handlers/terrain_unity_export_contracts.py","","defer-unity","Needs Unity compile/import proof before salvage."
"M","veilbreakers_terrain/handlers/terrain_validation.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_vegetation_depth.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_viewport_sync.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_visual_qa.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_water_variants.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_waterfalls.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_waterfalls_volumetric.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_weathering_timeline.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_wildlife_zones.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_wind_erosion.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/terrain_wind_field.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/handlers/vegetation_system.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/procedural_meshes.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/providers/external_asset_provider.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/providers/hunyuan3d2_provider.py","","defer-handler-code","Broad PR14 code/test change. Requires focused PR with local and CI proof; do not bulk-merge PR14."
"M","veilbreakers_terrain/tests/golden_scenarios/cave_entrance.json","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/golden_scenarios/cliff_talus_apron.json","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/golden_scenarios/deep_lake_basin.json","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/golden_scenarios/waterfall_plunge_pool.json","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_aaa_terrain_vegetation.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_blender_capability_bridge.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_bundle_r.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_chunk_cache_math_helpers.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_coverage_gaps.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_dem_import_runtime_helpers.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_environment_analysis_runtime_helpers.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_environment_handlers.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_environment_scatter_handlers.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_erosion_freq_split.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_external_asset_provider.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_lod_material_live_readiness.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_master_audit_blocker_closure.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_mesh_quality_phase14.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_p13_unity_scale_factor.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_p7_priority_flood.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_p7_thermal_consolidation.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_performance_optimization.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_phase9_visual_qa.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_physical_plausibility.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_precision_mesh_editing.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_preflight_crossrepo.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"A","veilbreakers_terrain/tests/test_procedural_material_builder_contracts.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"A","veilbreakers_terrain/tests/test_procedural_meshes_registry_contracts.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"A","veilbreakers_terrain/tests/test_protocol_dag_quality_hardening.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_remaining_callable_audit_guardrails.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_road_coastline_terrain_features.py","","salvaged-clean","Useful work was reimplemented/cleaned through PR17/PR18/PR19 with green checks."
"M","veilbreakers_terrain/tests/test_seam_boundary_np_pad.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_cliffs.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_deep_qa.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_ecosystem.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_erosion.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_erosion_filter.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_geology.py","","already-on-main","Equivalent useful work already exists on main or was superseded by later clean PR."
"M","veilbreakers_terrain/tests/test_terrain_master_registrar.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_material_ceiling.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_materials.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_pipeline_smoke.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_scatter_altitude_audit_linter.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_unity_export_bridge.py","","defer-unity","Needs Unity compile/import proof before salvage."
"M","veilbreakers_terrain/tests/test_terrain_visual_profiles.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_visual_qa_channels.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_terrain_wiring_integration.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_texture_layer_stack.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_unity_runtime_streaming_components.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_vb_toolkit_primitives_available.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_visual_qa_golden.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_visual_testing_readiness.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_visual_testing_readiness_gate_script.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
"M","veilbreakers_terrain/tests/test_water_network_upgrade.py","","defer-test-code","Test churn tied to broad handler edits; salvage only with matching focused implementation."
