#,File,Function,Line,Opus 4.6,Codex (gpt-5-codex),Gemini 3.1 Pro Preview,Consensus,AAA Equivalent,Strength,Weakness,Upgrade,Severity
111,terrain_advanced.py,flatten_layers,604,B,B+,A,B+,Gaea Combine node / Houdini Heightfield Layer merge,"Proper ordered blend pipeline with ADD/SUBTRACT/MAX/MIN/MULTIPLY modes, strength scaling, and nearest-neighbor resize when layer shapes differ from base.",Nearest-neighbor resize produces blocky aliasing on mismatched layers; MULTIPLY is hardcoded as (1+lh) which is idiosyncratic; no OVERLAY/SCREEN/SOFT-LIGHT modes; no per-layer mask channel.,"Use bilinear/lanczos resize, add overlay/screen/soft-light, honor a per-layer mask, and expose an explicit multiply semantic (direct multiply vs 1+offset).",polish
112,terrain_advanced.py,flatten_multiple_zones,1564,B-,A-,A,B+,Batch flatten across multiple building footprints,Straightforward sequential application of flatten_terrain_zone with per-zone parameters and safe key defaults.,"Sequential application means later zones fight earlier ones in overlap regions (last-writer-wins) — AAA batch flatten resolves overlaps via max/min/priority or unified mask; no overlap warning; O(Z*H*W) with Z zones, no spatial bucketing.","Build a combined mask with per-cell priority/blend and apply in one pass, or expose an overlap-resolution mode (max/min/weighted).",polish
113,terrain_advanced.py,flatten_terrain_zone,1496,B+,A-,A+,A-,UE Landscape Flatten brush / Gaea Terrace flat zone,"Vectorized numpy implementation with smoothstep C1 blend, auto target height from in-radius mean, and careful source-range preservation (no silent [0,1] clip) with NaN/inf scrubbing.",Circular only (name says 'zone' but no ellipse or rectangle support); blend is isotropic and cannot match building footprint shapes; seed parameter is unused (documented 'reserved').,"Accept (radius_x, radius_y) or a polygon mask; add optional noise-perturbed blend edge using seed; support rectangular/OBB footprints aligned to building rotation.",important
114,terrain_advanced.py,handle_erosion_paint,912,C,B,A-,B,UE Landscape Erosion sculpt brush,Cleanly wires bmesh read/write around compute_erosion_brush with _detect_grid_dims-based reshape and parameter validation.,Inherits all weaknesses of compute_erosion_brush (toy hydraulic/wind); no undo; blocks Blender main thread during slow pure-Python erosion; doesn't rebuild normals after displacement so shading looks wrong.,"Move compute into a numpy/numba path, call mesh.calc_normals_split or bmesh normal update post-mutation, and add a progress/cancel mechanism.",important
115,terrain_advanced.py,handle_snap_to_terrain,1399,B,B+,A,B+,UE Foliage/Blueprint SnapToGround / Unity Terrain.SampleHeight,"Proper world↔local matrix handling for ray_cast, optional normal alignment using axis-angle rotation, per-object result reporting, and configurable offset.","Single downward ray with no fallback (misses on overhangs/cliffs); normal alignment replaces the entire rotation_euler, destroying any authored yaw; no multi-sample averaging for stable placement on noisy terrain; no parallelization for large object lists.",Preserve object yaw by only tilting to normal around the vertical; add multi-sample footprint averaging; offer a fallback raycast from object centroid and an up-ray option for ceiling snap.,important
116,terrain_advanced.py,handle_spline_deform,381,B,B,A-,B+,UE Landscape Spline tool / Unity Terrain path carve,"Correctly wraps the pure-logic function with bmesh round-trip, validates object existence and point count, and clamps samples_per_segment.","Operates on object-local coords but the pure-logic uses world-space spline points — no matrix_world transform, so splines break when the terrain is moved/scaled/rotated; no undo support or mesh-data integrity checks.","Transform spline_points through obj.matrix_world.inverted() before calling compute_spline_deformation, and register with bpy.ops.ed.undo_push for editor undo.",critical
117,terrain_advanced.py,handle_terrain_flatten_zone,1594,C+,C,A,B-,UE Landscape Flatten tool on an arbitrary mesh,"Handles arbitrary non-grid meshes by binning vertices into a grid, fills NaN cells via column/global mean, and applies per-vertex delta to preserve mesh topology rather than reshape-assuming row-major.","Grid binning loses sub-cell detail and reintroduces aliasing; fetches delta via grid[row_idx, col_idx] nearest-neighbor (no bilinear); target_height normalization recomputes z_min/z_max on the binned grid not the vertices; two dead `_ = max(..., 1e-6)` lines signal unfinished normalization logic; ellipse radius_x/radius_y collapses to a single averaged flat_radius so non-circular zones aren't actually supported despite the param surface.","Use bilinear interpolation when sampling delta back to vertices, honor radius_x vs radius_y as a true ellipse in the pure-logic call, remove dead code, and compute target normalization from the real vertex Z range.",important
118,terrain_advanced.py,handle_terrain_layers,652,C+,B,B+,B,UE Landscape layer UI / Gaea layer panel,Full CRUD routing (add/remove/modify/flatten/list) with JSON-serialized state persisted on the mesh custom property and layer-name lookup.,Every mutation re-serializes the full layer stack to a JSON string on an ID-property — will bloat .blend files and fail silently at ID-property size limits; flatten_layers assumes vertex order equals row-major reshape which breaks on non-grid meshes despite _detect_grid_dims; no undo integration.,"Persist layers as an external .npz per terrain keyed by hash, chunk large layers, and add depsgraph-aware undo.",important
119,terrain_advanced.py,handle_terrain_stamp,1319,C,B,A-,B,UE Landscape Stamp tool,"Clean bmesh integration, parameter defaults, and reuse of pure-logic compute_stamp_heightmap + apply_stamp_to_heightmap.",Inherits the inert-falloff bug and primitive stamp shapes from its dependencies; hardcoded 64x64 stamp resolution; no rotation; uses object-local terrain_size from obj.dimensions which breaks when mesh is transformed.,"Plumb resolution/rotation/blend-mode params, transform position through inverse matrix_world, and fix the falloff degenerate blend.",important
120,terrain_caves.py,_build_chamber_mesh,1079,—,A-,—,A-,,,,,polish
121,terrain_caves.py,_build_synthetic_state,982,—,B+,—,B+,,,,,polish
122,terrain_caves.py,_cell_to_world,202,—,A,—,A,,,,,polish
123,terrain_caves.py,_find_entrance_candidates,740,—,B,—,B,,,,,important
124,terrain_caves.py,_protected_mask_for_caves,221,—,B+,—,B+,,,,,polish
125,terrain_caves.py,_region_to_slice,210,—,A,—,A,,,,,polish
126,terrain_caves.py,_world_to_cell,190,—,A-,—,A-,,,,,polish
127,terrain_caves.py,build_cave_entrance_frame,499,B-,A-,A,B+,Skyrim/ESO cave portal kit,"Per-archetype framing count (2 or 3), computes lintel position from entrance_height, vegetation_screen predicate, occlusion_shelf intent.","Framing rocks are just world positions + radius — no actual shape variation, no per-archetype material hint.",Specify rock asset kit per archetype + size variance + biased noise for position.,polish
128,terrain_caves.py,carve_cave_volume,436,B,A-,B,B+,Voxel carve along spline (UE5 Voxel Plugin),Proper vectorized np.mgrid footprint per waypoint; taper by distance from path center; deepest-delta-per-cell merge; populates cave_candidate bool mask.,Flat 2D footprint — heightmap can't represent true 3D caves (the delta only lowers terrain surface). For real caves this needs voxel/mesh-boolean backend.,Wire through to a voxel field (terrain_advanced) so caves are true 3D volumes.,critical
129,terrain_caves.py,generate_cave_path,344,B,B+,A-,B+,Houdini curve-based cave authoring / UE5 Voxel Farm cave curve,"Per-archetype path shape (LAVA_TUBE straight, FISSURE vertical, KARST plunge-then-arm, GLACIAL meander, SEA_GROTTO shallow). Deterministic rng.","All paths are 2D polylines with simple trigonometric jitter — no branching, no chamber nodes, no inclination variation within archetype.","Add branching (Y-splits), chamber hubs along path, per-archetype branch probability.",important
130,terrain_caves.py,generate_damp_mask,618,B+,A-,B,B+,UE5 wetness mask shader driver,Vectorized np.mgrid per waypoint with proper max-merge; preserves existing wet_rock.,Linear falloff — real damp patterns follow seepage paths (downslope preference).,Bias falloff downslope of path.,polish
131,terrain_caves.py,get_cave_entrance_specs,908,—,B,A-,B+,,,,,important
132,terrain_caves.py,handle_generate_cave,1127,B-,B,B+,B,MCP handler shim over cave authoring,Bridges params dict to pass_caves via synthetic state; returns debris/frame geometry intent.,Uses synthetic state builder — real scene_read may not be present; chamber mesh is a simple box loft.,Prefer actual scene state over synthetic; richer chamber mesh.,polish
133,terrain_caves.py,make_archetype_spec,152,—,A-,A,A,,,,,polish
134,terrain_caves.py,pass_caves,759,A-,B,A-,B+,UE PCG cave authoring graph,"End-to-end: scene_read-derived entrances, per-cave deterministic seed via hash-mix, protected-zone cell check, archetype pick, path+carve+frame+debris+damp, cave_candidate protected masking, side_effects recorded for downstream bundles, validation.",Only processes scene-read supplied entrances (no auto-discovery from heightmap features); cell_count recomputed per loop.,Add auto-entrance detection using cliff-edge + slope + basin proximity when scene_read is empty.,important
135,terrain_caves.py,pick_cave_archetype,252,—,B,C+,B-,,,,,important
136,terrain_caves.py,register_bundle_f_passes,890,—,A,A,A,,,,,polish
137,terrain_caves.py,scatter_collapse_debris,568,B,B+,A,B+,UE5 PCG debris scatter,"Deterministic, density-scaled, normal-jitter around path; caps count 200 to bound work.","No clustering (debris typically piles), no collision with entrance frame; all debris same type.",Add Poisson clustering + per-cluster type.,polish
138,terrain_caves.py,validate_cave_entrance,666,—,A-,A,A,,,,,polish
139,terrain_features.py,_fbm,,—,A-,—,A-,,,,,polish
140,terrain_features.py,_hash_noise,,—,B+,—,B+,,,,,polish
141,terrain_features.py,generate_canyon,69,C-,B,—,C+,"Houdini Heightfield carve + side tributary erosion (e.g. RDR2 Grand Canyon, Uncharted Lost Legacy canyons)","Produces a coherent three-piece mesh (floor + two walls) with wall-height-based material banding (wet_rock low, canyon_wall mid) and floor path waypoints useful for nav.","Canyon is a straight rectilinear trench along X with only mild y-offset wall noise; no meander, no talus slopes, no stratified horizontal rock layers, and 'side caves' are only metadata dicts with zero actual mesh carved into the walls.","Build canyon centerline via meandering spline, carve walls from a base heightmap with multi-octave stratified erosion, generate real boolean cave voids at each side cave, and add scree/debris cones at wall bases.",critical
142,terrain_features.py,generate_cliff_face,497,C-,B,—,C+,"Uncharted / Tomb Raider climbable cliff with ledge kit, or UE Landscape Layer Blend with overhang tool.","Two-octave noise on face, explicit overhang lean at the top quartile with underside sheet, and a separate ledge-path ribbon usable for climbing.","Base cliff is still a single planar heightfield tilted at the top (not true overhangs with undercut), cave entrances are metadata only with no holes punched in the face, and ledge ribbon is a flat two-vertex strip with no thickness or railings/handholds.","Use a displaced volumetric slab (front + top + underside stitched) so overhang becomes a real shelf, boolean-carve cave entrances through the face, and extrude the ledge into a 3D walkable shelf with chamfered edge.",important
143,terrain_features.py,generate_floating_rocks,1533,C+,B-,—,B-,Avatar/Horizon floating islands or Zelda TOTK sky islands; Houdini Voronoi-fractured rock clusters.,"Each rock is a real latitude/longitude tessellated sphere with two-octave noise on both radius and z, proper top/mid/bottom cap handling and even a fallback for mismatched segment counts; chain link geometry is actual extruded 4-sided rings, not just metadata.","Chain 'links' are open cylindrical shafts stacked vertically (not interlocked torus rings), rocks are fundamentally noisy spheres with no sharp fractured planes or crystalline protrusions, undersides look identical to tops (same material differentiation is purely tag-based), and there is no island flat top / grass zone typical of fantasy float rocks.","Replace sphere base with Voronoi-fractured polyhedra giving flat facets, differentiate top via flattened cap + grass mask, make chain links actual torus primitives interlocking at 90-degree alternation, and add crystal vein mesh geometry rather than just material tag.",important
144,terrain_features.py,generate_geyser,1110,C,B,—,B-,"Yellowstone-style travertine terrace (RDR2 Cotorra Springs, Horizon hot springs) with layered sinter steps.","Three-tier terraced ring structure with per-tier z offset and radial noise, plus a cone vent with base/mid/tip rings and sulfur-crust material, which is more structured than a flat decal.","Pool is a fan-triangulated flat disc (no concavity toward center despite the comment), terraces are only 3 rigid concentric rings of equal width (not scalloped basins with pour-lips), and there is no water surface mesh, no steam vent placement, and the vent cone is just 3 rings.","Model terraces as stacked basin polygons with irregular pour-lips carved per tier, add a real water surface inside each basin, generate steam/sulfur plume emitter points, and vary terrace counts by pool_radius.",important
145,terrain_features.py,generate_ice_formation,1764,C-,B,—,C+,"God of War Ragnarok ice caves / Horizon FW Cauldrons with volumetric ice, parallax refraction, and icicle clusters.","Per-stalactite cone with variable length/radius, noise-displaced ring geometry and tip triangles; ice wall is a genuine 2D grid with FBM undulation and a curvature-based refraction material split.","Stalactite material banding uses `kt` variable that is actually the OUTER loop counter `k` from a previous loop (variable captured incorrectly — bug: `kt` in the mat_indices block references the last stalactite's last ring k/cone_rings, not current face position), 'refraction zones' are randomly sampled metadata disconnected from the actual curvature classification applied to faces, ice wall is a flat displaced plane (no thickness), and there is no floor/stalagmite, no pool, no volumetric ice.",Fix the kt-scoping bug so banding tracks current ring properly; extrude the ice wall into a volume with frosted interior; add matching stalagmites and frozen pool mesh; derive refraction_zones from the actual high-curvature face centers rather than random sampling.,critical
146,terrain_features.py,generate_lava_flow,1967,C,B+,—,B-,Horizon Burning Shores lava channels or Kilauea reference with pahoehoe crust folds and incandescent fissures.,"Sinusoidal centerline with noise-modulated perturbation, correct per-segment tangent/perpendicular frame for the cross-section sweep, five-band cross-section profile (raised solid rock, raised crust, depressed lava) with height variation, and heat_zones metadata parameterized by flow position.","Flow is still a single-strip ribbon — no branching, no pillow/tube morphology, no solidification fingers; crust edges are symmetric with simple linear height profile, no a'a vs pahoehoe variation; lava surface is the same continuous grid as the rock banks with no lip or embankment discontinuity; heat zones are uniformly distributed along t with no flow-physics grounding.","Replace ribbon with a 2D flow-accumulation field producing branching channels, model crust as a separate floating shell above a lower hot-lava surface (two meshes) with broken crust patches, and derive heat_zones from channel-width narrowings/drop points instead of uniform sampling.",important
147,terrain_features.py,generate_natural_arch,915,D+,B,—,C+,"Real natural arch (Delicate Arch / Mesa Arch) as sculpted erosion of sandstone block, or Houdini Voronoi-fracture + erosion.","Sweep uses a correctly oriented Frenet-like frame (tangent in XZ, normal perpendicular) and ring cross-section allows noise displacement, giving a non-trivial closed tube.","The arch is a swept elliptical tube (torus-arc) with single-sample noise per ring segment — that is the archetypal 'stretched torus' approach called out by the rubric; real natural arches are eroded rock masses with flat tops, scalloped undersides, and asymmetric pillar bases, none of which are modeled. Pillars are simple tapered 4-vert boxes.","Start from a solid rock mass (blockout box), boolean-subtract an elliptical tunnel, then apply per-layer strata displacement and wind-erosion noise on the underside so the shape reads as eroded sandstone, not a bent pipe.",critical
148,terrain_features.py,generate_sinkhole,1304,C,B+,—,B-,"Tomb Raider/Uncharted cenote or Sima de las Cotorras with vertical walls, vegetation shelves, and water pool bottom.","Multi-ring construction (outer rim, inner rim, stacked wall rings, floor fan) with FBM wall roughness, per-depth material banding, and rubble pieces as real 8-vert displaced box meshes.","Walls are still rotationally symmetric (only 15% narrowing at bottom, no undercuts or bell shape), rubble boxes are axis-aligned and identical topology, the bottom cave is metadata-only with no actual opening cut into the wall, and there is no water/vegetation shelf despite sinkholes typically having both.","Allow non-axisymmetric radius profile (bell or hourglass), boolean-carve the bottom cave into the wall mesh, scatter rocks with varied topology and rotation, and add a mid-depth vegetation shelf ring.",important
149,terrain_features.py,generate_swamp_terrain,688,C,B+,—,B-,"Far Cry/Witcher 3 bog biome with hummock stamps, standing water masks, and island dry-zone classification.","Real FBM base, O(N^2) radial hummock/island stamping with quadratic and quartic falloffs, BFS flood fill to extract connected water-zone bounding boxes, and water-coverage metric for downstream asset scattering.","Resolution scales as size/2 (so a 50m swamp is only 25x25 = 625 quads = ~2m quads) which is too coarse for AAA; no channel/river carving, no peat/hammock micro-morphology, and water is tagged via material only — there is no actual water plane mesh.","Raise resolution to sub-meter, carve drainage channels with hydraulic erosion pass, emit a separate water surface mesh aligned to water_level, and output root/reed scatter masks instead of just material IDs.",important
150,terrain_features.py,generate_waterfall,254,D+,A-,—,B-,"Horizon Forbidden West / Genshin waterfall with volumetric water plume, pool caustics, and mist VFX; Gaea water-carving layer.","Has direction-aware rotation for arbitrary facing, emits pool/cave/splash metadata for downstream VFX, and tags wet/dry material zones along the cliff.","Ledges are literally single quads (no side/bottom faces), pool is a crude 16-sided fan triangle disc with no lip or undercut, 'cave behind' is pure metadata with no geometry carved, and there is no water mesh, no plunge basin curvature, and no erosion behind/below the falls.","Generate real boxed ledges with front undercuts, carve a real cave void behind the flow with SDF boolean, build a volumetric water plume mesh (tapered prism, not plane) and a contoured plunge pool with distinct lip, and output mist emitter positions.",critical
151,terrain_materials.py,_build_terrain_recipe,2172,—,B+,—,B+,,,,,polish
152,terrain_materials.py,_clamp_rgba,2162,—,A-,—,A-,,,,,polish
153,terrain_materials.py,_classify_face,1068,—,A-,—,A-,,,,,polish
154,terrain_materials.py,_create_height_blend_group,1548,—,B+,—,B+,,,,,polish
155,terrain_materials.py,_face_slope_angle,1046,—,A,—,A,,,,,polish
156,terrain_materials.py,_get_material_def,997,—,A-,—,A-,,,,,polish
157,terrain_materials.py,_resolve_biome_palette_name,2119,—,B+,—,B+,,,,,polish
158,terrain_materials.py,_resolve_special_band_policy,2135,—,A-,—,A-,,,,,polish
159,terrain_materials.py,_simple_noise_2d,1323,—,A-,—,A-,,,,,polish
160,terrain_materials.py,apply_corruption_tint,1281,B,B+,A,B+,Corrupted-zone overlay shader,Straightforward RGBA blend toward corruption purple; pushes alpha to special channel.,"Uniform tint — no per-vertex corruption variance; hardcoded purple (0.12, 0.04, 0.14) from 'linear sRGB' comment.",Sample corruption_map per-vertex for spatial variance.,polish
161,terrain_materials.py,assign_terrain_materials_by_slope,1096,B,B,A-,B+,UE Landscape layer slope/height auto-assign,Four-zone classification (ground/slopes/cliffs/water_edges) per-face via normal + height + water_level; distributes across palette materials by face index for variance.,Modulo face index distribution is deterministic but visually linear — no spatial coherence (adjacent faces can flip material).,Use spatial hash (face center) with blue noise for variance.,polish
162,terrain_materials.py,auto_assign_terrain_layers,1948,—,A-,A-,A-,,,,,polish
163,terrain_materials.py,blend_terrain_vertex_colors,1167,B,B,A,B+,UE5 Vertex-color splatmap (4-channel),Averages per-vertex zone weights across adjacent faces; normalizes RGBA to sum 1; isolated-vertex fallback.,Static zone->channel weights ignore biome-specific preferences (a swamp shouldn't give .6 grass + 0 rock uniformly); no smoothing across vertices.,Pull zone weights per-biome from palette; Laplacian smooth.,important
164,terrain_materials.py,compute_biome_transition,1358,B,A-,A,A-,Witcher 3 / ESO biome-boundary splat blend,Runs auto_assign_terrain_layers for both biomes then smoothsteps between them with noise-displaced boundary — clean organic edge.,"Axis-aligned boundary only (x or y); _simple_noise_2d is a hash-based approximation, not true Simplex; amplitude is in world units but scale is normalized.",Support arbitrary polyline boundary + OpenSimplex noise.,important
165,terrain_materials.py,compute_world_splatmap_weights,2365,A-,A,A+,A,UE5 Landscape auto-material RGBA (grass/dirt/rock/special),"Fully vectorized numpy (previously Python double loop — now <200ms on 512² per docstring), height+slope+moisture fusion, special-band policy with ground-restriction, moisture tint, final normalization preserving alpha. This is production quality.",Linear slope thresholds; no anisotropic lighting hint; moisture tint is limited (>0.7 or <0.3).,Soften slope transition with smoothstep; expose moisture curve.,polish
166,terrain_materials.py,create_biome_terrain_material,2515,—,B+,B+,B+,,,,,polish
167,terrain_materials.py,get_all_terrain_material_keys,1002,—,A-,A,A,,,,,polish
168,terrain_materials.py,get_biome_palette,1015,—,A,A,A,,,,,polish
169,terrain_materials.py,get_default_biome,,—,—,A,A,,,,,
170,terrain_materials.py,handle_create_biome_terrain,2713,—,A-,A,A,,,,,polish
171,terrain_materials.py,handle_setup_terrain_biome,1673,—,B,A,A-,,,,,important
172,terrain_materials.py,height_blend,1508,—,A-,A,A,,,,,polish
173,terrain_pipeline.py,TerrainPassController,,—,—,A,A,,,,,
174,terrain_pipeline.py,TerrainPassController._save_checkpoint,327,A-,—,—,A-,Houdini node cache / UE5 asset version checkpointing,"Captures Unity-export metadata (world_bounds, height range, cell_size, coord system) so checkpoints are round-trippable. Parent linkage for undo chain.",NPZ files pile up over long sessions — no rotation/pruning.,Add checkpoint retention policy.,polish
175,terrain_pipeline.py,TerrainPassController.enforce_protected_zones,134,A-,—,—,A-,UE Landscape layer exclusion / Horizon zero region lock,Correctly distinguishes full-cover vs partial intersection; lets per-cell masks do finer policy.,Region BBox is axis-aligned only — polygon zones not supported.,Accept polygon zones for hero-art protection (tournament-quality Skyrim-like zone masks).,polish
176,terrain_pipeline.py,TerrainPassController.run_pass,167,A,—,—,A,Houdini TOP pass executor / UE5 PCG graph node runner,"Enforces scene-read, protected zones, input-channel prereqs, post-run produces_channels verification, quality-gate with hard/soft severity, visual_validator, content-hash before/after, checkpoint on success. Very thorough contract enforcement.",Failure in the pass records duration but the state may be partly mutated — no transactional rollback of mask_stack. Pragma: no cover on the except clause hides untested error paths.,Snapshot mask_stack before func() and restore on exception (use checkpoint dir already present).,important
177,terrain_pipeline.py,TerrainPassController.run_pipeline,296,B+,—,—,B+,Houdini TOP scheduler,Default sequence is sensible (macro->masks->erosion->validate). Stops on first failure.,No parallel tile dispatch; no partial rollback to last-good checkpoint on failure.,Add multiprocessing per-tile and auto-rollback option.,polish
178,terrain_pipeline.py,_make_gate_issue,46,—,B,—,B,,,,,important
179,terrain_pipeline.py,_save_checkpoint,327,—,A-,—,A-,,,,,polish
180,terrain_pipeline.py,clear_registry,120,—,A-,—,A-,,,,,polish
181,terrain_pipeline.py,derive_pass_seed,55,A,A,A,A,Houdini HDA deterministic seed chaining / UE5 PCG seed domain,"SHA-256 of JSON-encoded tuple, PYTHONHASHSEED-independent, 32-bit masked for numpy RNG. Production-correct.","JSON encoding adds overhead vs a direct bytes hash, but negligible.",Cache on intent to avoid re-hashing per-pass in tight loops if needed.,polish
182,terrain_pipeline.py,enforce_protected_zones,134,—,A-,—,A-,,,,,polish
183,terrain_pipeline.py,get_pass,114,—,A-,—,A-,,,,,polish
184,terrain_pipeline.py,register_default_passes,395,A-,A-,—,A-,UE PCG node registration,Declarative definitions with requires/produces channels — enables static contract verification.,Hard-coded 4 passes; no way to compose profiles.,Load profile from YAML to support game-specific pass graphs.,polish
185,terrain_pipeline.py,register_pass,109,—,B+,—,B+,,,,,polish
186,terrain_pipeline.py,require_scene_read,126,—,A,—,A,,,,,polish
187,terrain_pipeline.py,rollback_last_checkpoint,384,—,A-,—,A-,,,,,polish
188,terrain_pipeline.py,rollback_to,372,—,B,—,B,,,,,important
189,terrain_pipeline.py,run_pass,167,—,A,—,A,,,,,polish
190,terrain_pipeline.py,run_pipeline,296,—,B+,—,B+,,,,,polish
191,terrain_sculpt.py,_build_adjacency,240,—,A-,—,A-,,,,,polish
192,terrain_sculpt.py,compute_brush_weights,56,C-,A-,B+,B,UE Landscape brush footprint / Houdini heightfield mask by radius,"Correctly uses squared-distance culling in XY before taking the sqrt, returning a sparse weight list.","O(N) linear scan over every vertex with no spatial acceleration (KD-tree/grid/BVH), XY-only so projects wrong on sloped terrain, no pressure/tilt/azimuth, no anisotropic (elliptical) brush, no alpha-texture mask, and no stroke dab spacing - AAA tools use screen-space projection along the view ray with a spatial index.","Add KD-tree/spatial grid accel, ray-project the brush onto the surface (not XY plane), support pressure curve + elliptical shape + alpha-image mask + stroke spacing, and compute weight over geodesic distance for steep slopes.",critical
193,terrain_sculpt.py,compute_flatten_displacements,160,D,A-,B+,B-,"ZBrush Flatten/Planar/Trim Dynamic, UE Landscape Flatten (with eye-dropper)",Computes a real brush-local average rather than a fixed global plane.,"Flattens to unweighted mean Z of affected verts (not a fitted plane), ignores brush weights in the average (bias toward edge verts), no user-set target height / eye-dropper pick, no plane-from-first-contact 'trim' mode, no angle/slope constraint - AAA flatten brushes plane-fit via least-squares and offer 'flatten to target', 'ramp', 'contrast' modes.","Compute a weighted least-squares plane from the affected verts, expose modes (average / first-hit / user-target / plane-fit), add contrast-blur parameter and ramp/slope constraint.",important
194,terrain_sculpt.py,compute_lower_displacements,118,D+,A,A-,B,ZBrush Standard (inverted) / UE Landscape Sculpt (lower),"Symmetric to raise, tiny and correct for its trivial spec.","Just a sign-flip of raise - no normal-aligned direction, no floor/minimum clamp, no distinct 'dig' behavior (AAA dig brushes carve along inverse-normal with a sharper falloff and terrain-floor clamp), and shares all of raise's gaps.","Share a single directional-displacement kernel with raise, expose direction enum (UP/DOWN/NORMAL/INV_NORMAL), add min-height clamp, pressure, and dig-shape option.",critical
195,terrain_sculpt.py,compute_raise_displacements,97,D+,A,A,B,"ZBrush Standard/Inflate brush, UE Landscape Sculpt (raise)","Simple deterministic weighted displacement, easy to test.","Displaces purely along world Z with no surface-normal option, no accumulation curve / per-dab falloff, no max-height clamp, no layer/undo stack, no pressure-sensitive strength, and no noise/jitter - an AAA raise brush offsets along averaged normal with stroke accumulation and clamps.","Offset along smoothed vertex normal (toggle normal vs Z), add per-stroke accumulation/clamp, pressure curve, optional noise modulation, and feed into a layered height buffer for non-destructive sculpting.",critical
196,terrain_sculpt.py,compute_smooth_displacements,130,D,B+,A,B-,"ZBrush Smooth brush, Blender sculpt Smooth (Laplacian/surface/enhance-detail)","Uses real 1-ring adjacency (not a fixed-radius 4-neighbor hack), giving a proper uniform Laplacian on Z.","Only smooths Z (not full 3D position), uniform weighting rather than cotangent/area weights (causes shrinkage on irregular meshes), single Jacobi iteration per call (no iteration count), no Taubin lambda/mu shrinkage compensation, no detail-preserving smooth, no boundary handling - ZBrush/Blender offer Laplacian, Surface, Enhance-Detail, Taubin, and relax modes.","Add iterations param, support cotangent weights, Taubin lambda/mu to prevent shrinkage, a surface-smooth mode that preserves XY and only relaxes along normal, plus relax-topology and enhance-detail variants.",critical
197,terrain_sculpt.py,compute_stamp_displacements,181,C-,B,B,B-,"World Machine/Gaea stamp macro, Houdini heightfield stamp, ZBrush Alpha stamp, UE Landscape Erosion/Stamp brush","Performs explicit UV remap of brush footprint into heightmap grid and clamps UV, with a strength multiplier.","Nearest-neighbor sampling only (no bilinear/bicubic) causing blocky artifacts, axis-aligned square footprint inside a circular brush, no rotation / scale / flip, no blend modes (add/max/min/subtract/replace), no height remap curve, no wrap/tile, no masked alpha channel - AAA stamps support rotation, 8+ blend ops, bicubic sampling, and remap curves.","Add bilinear/bicubic sampling, rotation/scale/flip of the stamp, blend modes (add/max/min/replace/multiply/subtract), height remap curve, tile/wrap option, and a separate mask channel; decouple stamp footprint from circular brush weight.",critical
198,terrain_sculpt.py,get_falloff_value,38,C+,B,A-,B,ZBrush/Mudbox brush falloff curve (customizable curve editor),Provides four named falloff curves including a proper cosine smooth ramp with clamping and unknown-name guard.,"Hard-coded set of 4 curves with no user-definable curve editor, no root/inverse-sharp/middle/gaussian options, and the clamp to 1.5 silently allows out-of-range input where AAA tools expose an editable 2D spline.","Replace with a sampled 1D curve LUT driven by a user-editable spline (bezier/catmull) plus common presets (gauss, sharper, root, constant, custom), matching Blender/ZBrush brush curve UX.",important
199,terrain_sculpt.py,handle_sculpt_terrain,248,C,B,A-,B,UE Landscape Sculpt mode / Blender Sculpt operator / ZBrush stroke dispatch,"Provides a single dispatch entry-point covering 5 operations with clean bmesh lifecycle (try/finally free), validation, and a structured return payload including affected vertex count.","Not a true stroke system - a single dab per call with no stroke spacing / path / smoothing-between-dabs, full mesh read/write every call (O(N) each), no undo stack / layer, no symmetry (X/Y/radial), no multires / sculpt-mode integration, no mask/vertex-group support, no normal/position updates beyond Z, no dirty-rect optimization - AAA sculpt dispatchers stream strokes, write only touched verts, push to an undo stack, and support symmetry + mask + layers.","Accept a stroke (list of samples + pressure), build/maintain a vertex KD-tree + dirty-vert set across dabs, add symmetry planes, mask/vertex-group weighting, undo layer stack, and an option to modify XYZ along normal; batch bmesh writes per stroke not per dab.",critical
200,terrain_semantics.py,BBox,,—,—,A,A,,,,,
201,terrain_semantics.py,PassResult,,—,—,A,A,,,,,
202,terrain_semantics.py,ProtectedZoneSpec,,—,—,A,A,,,,,
203,terrain_semantics.py,TerrainIntentState,,—,—,A,A,,,,,
204,terrain_semantics.py,TerrainMaskStack,,—,—,B+,B+,,,,,
205,terrain_semantics.py,TerrainPipelineState,,—,—,A,A,,,,,
206,terrain_semantics.py,ValidationIssue,,—,—,A,A,,,,,
207,terrain_semantics.py,WorldHeightTransform,,—,—,A,A,,,,,
208,terrain_waterfalls.py,_d8_to_angle,165,—,B+,—,B+,,,,,polish
209,terrain_waterfalls.py,_ensure_drainage,178,—,B,—,B,,,,,important
210,terrain_waterfalls.py,_grid_to_world,118,—,A-,—,A-,,,,,polish
211,terrain_waterfalls.py,_region_slice,643,—,A-,—,A-,,,,,polish
212,terrain_waterfalls.py,_steepest_descent_step,138,—,A-,—,A-,,,,,polish
213,terrain_waterfalls.py,_world_to_grid,127,—,B+,—,B+,,,,,polish
