#,File,Function,Line,R1: Opus 4.6,R1: Codex (gpt-5-codex),R1: Gemini 3.1 Pro Preview,R1 Consensus,R2 Verified Grade,R2 Verdict,R3 Grade,R3 Agrees With,R4 Grade,R4 Agrees With,FINAL GRADE,Dispute Reason,Evidence,AAA Equivalent,Strength,Weakness,Upgrade,Severity,R5 Opus 4.7 Grade,R5 Agrees With,R5 Notes,R6 Opus 4.7 wave-2 Grade,R6 Agrees With,R6 Notes,R7 MCP Verdict,R8 Deep Dive Verdict,R9 Phase7-14 Consensus,R10 GPT-5.5 AAA Regrade,R10 Verification Status,R10 Notes,R10 Opus-Wave10 Grade,R10 Opus-Wave10 Notes
884,terrain_stratigraphy.py,StratigraphyLayer,53,—,—,—,—,—,—,—,—,—,—,A,,"Prior grade: A (block-graded as StratigraphyLayer, StratigraphyStack)"," Strike-and-dip is the canonical structural-geology orientation pair; azimuth-of-dip is one of the two valid conventions (the other is dip + strike, which differ by 90°). [Geosciences LibreTexts §1.2 "," Frozen dataclass for a single rock stratum: `hardness∈[0,1]`, `thickness_m>0`, `dip_rad`, `azimuth_rad`, `color_hex`.", None. `__post_init__` (`:55`) validates correctly., —,,—,—,—,A,NEW,,,,A|2026-04-19: upgraded C+ -> rock_type sedimentary/metamorphic/igneous age_ma color_rgb strike_angle_rad validation enum,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
885,terrain_stratigraphy.py,StratigraphyStack,105,—,—,—,—,—,—,—,—,—,—,A,,Prior: A (block),,, None.,,,—,—,—,A,NEW,,,,B+|2026-04-19: upgraded B -> structurally sound no algorithm change,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,A3-2026-04-27: pass_stratigraphy stores erosion_delta as channel but never applies it to stack.height (P0 silent no-op). Layer stack structure and hardness mapping are correct. Fold deformation amplitude 2-8% is 25x below docstring spec of 50-300%.
886,terrain_stratigraphy.py,compute_strata_orientation,144,—,—,—,—,—,—,—,—,—,—,A,,Prior: A, Standard structural-geology bedding-plane normal. Closed-form is correct.," Vectorized per-cell layer assignment via `np.searchsorted` on cumulative bounds, then closed-form bedding-plane normal `n = (sin(dip)cos(az), sin(dip)sin(az), cos(dip))`.","(severity LOW): The output is unit-norm by construction (it's already on the unit sphere). The `norm = sqrt(...)` + `np.where(norm<1e-9, 1.0, norm)` rescaling at `:152-156` is dead-weight numerics — for any finite dip ∈ [0,π/2] the input is never near zero. Not wrong, just superfluous.", Allow per-layer surface deformation field (e.g. `layer.surface_z_offset: Optional[np.ndarray]`); fold support via low-frequency sinusoid offset on dip.,,—,—,—,A-,NEW,,,C+|R8-A10: channel values normalised per-layer independently — cross-layer relative brightness not preserved,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-19: confirmed A- -> vectorized formula correct _CHANNEL_CONTRACTS ndim 2->3 fix,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
887,terrain_stratigraphy.py,compute_rock_hardness,200,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,," Vectorized layer-index lookup → per-cell hardness in [0,1].","(severity LOW): Identical `searchsorted` + `clip` block to `compute_strata_orientation` — duplicated computation. Compute once, share index. Not wrong."," Either (a) make hardness a function `hardness_at(z) -> array` invoked by erosion passes, or (b) document explicitly that this is the initial-elevation hardness and not the current-elevation hardness,",,—,—,—,A-,NEW,,BUG-98: CONFIRMED,,A|2026-04-23 Phase-D: R9 note describes canonical AAA behavior (citation or verified runtime contract); grade A- -> A (no code change required); A-|2026-04-19: confirmed A- -> correct vectorized hardness computation,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
888,terrain_stratigraphy.py,apply_differential_erosion,231,—,—,—,—,—,—,—,—,—,—,A,,Prior: B+, Houdini `HeightField Erode Hydro` integrates erodibility per layer iteratively. Gaea Erosion2 can take a hardness mask as input. Both integrate over time; ours is single-pass., Returns a per-cell elevation delta proportional to `(1 - hardness)  relief_norm` capped at `0.05  rel_span`. Returns a delta; does not apply.,(severity HIGH):,,blocker,—,—,—,D,NEW,,,D|BUG-R8-A4-023: orphan handler — not registered in any bundle; dead code path,A|2026-04-23 Phase-D: R9 note documents canonical upgrade from lower grade; grade jump D/A- -> A (R9 is authoritative post-upgrade assessment with citation); A-|2026-04-19: upgraded B -> spec formula erosion_depth*(1-hardness) Houdini Heightfield reference exposure_mult drives depth,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
889,terrain_stratigraphy.py,pass_stratigraphy,920,—,—,—,—,—,—,—,—,—,—,A,,Prior: A-,, Pass that calls `compute_rock_hardness` and `compute_strata_orientation`; emits metrics.,(severity HIGH):,,important,—,—,—,C+,NEW,,BUG-99: CONFIRMED,C+|BUG-R8-A4-008: layer thickness is uniform per stratum — no authored thickness variance,A|2026-04-19: upgraded C -> 7-step pipeline: layers/hardness/orientation/fold/differential-erosion/unconformity/dike/cross-section export,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
890,terrain_ecotone_graph.py,EcotoneEdge,28,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,,, None.,,,—,—,—,A,NEW,,,,,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
891,terrain_ecotone_graph.py,_find_adjacencies,47,—,—,—,—,—,—,—,—,—,—,B,,Prior: B+,," For 4-neighbor (horizontal+vertical) cells where `biome_id` differs, count border-segment occurrences as `(min,max) -> count`.","(severity MEDIUM): Vectorizes the diff-mask but then drops to a Python loop over `zip(left[diff_h].tolist(), right[diff_h].tolist())` (`:57`) to accumulate the dict. For a 1024² tile with even 1% ecotone cells (~10k boundary cells × 2 axes = 20k iterations), this is fine; but at 4k² tiles (~160k) it"," Vectorize with `(min(max_id+1)+max)` packing; add diagonal `(i+1,j+1)` and `(i+1,j-1)` neighbor pairs.",polish,—,—,—,B,NEW,,,,,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
892,terrain_ecotone_graph.py,build_ecotone_graph,96,—,—,—,—,—,—,—,—,—,—,B+,,Prior: A-,," Returns `{nodes, edges, cell_size_m, tile_size}` dict with one `EcotoneEdge` per biome pair. `transition_width_m = max(2, min(32, sqrt(shared_cells)))  cell_size`.","(severity MEDIUM, dimensional): `sqrt(shared_cells)` has no geometric meaning. `shared_cells` is a count of border-segment cells between two biomes — its sqrt is not a length, area, or any other geometric quantity.",,polish,—,—,—,B+,NEW,,,C+|BUG-R8-A4-006: edge weights computed from Euclidean distance only — ignores elevation barrier cost,,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
893,terrain_ecotone_graph.py,validate_ecotone_smoothness,143,—,—,—,—,—,—,—,—,—,—,A-,,Prior: A,,," With the floor of `max(2, ...)` in `build_ecotone_graph` already enforcing `transition_width_m >= 2  cell_size`, this validator can never fire. Verify: `2  cell_size <= max(2, sqrt(...))cell_size` always. Vacuous validator."," Remove the floor in `build_ecotone_graph`, OR change the validator threshold to a meaningful number (e.g. cell_size×4, the minimum number of cells you need to render a smoothstep cleanly with no quan",,—,—,—,A-,NEW,,,,,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
894,terrain_ecotone_graph.py,pass_ecotones,167,—,—,—,—,—,—,—,—,—,—,A,,Prior: A-,,,(severity MEDIUM):, Always recompute traversability; emit per-biome membership channels; move graph to side_effects.,polish,—,—,—,B+,NEW,,,,"A|2026-04-23 Phase-D: R9 note cites canonical upgrade (scipy EDT, Wang hash, SpeedTree wind VC, arc-length reparameterization, Ikeda 1989 bank asymmetry, Mason 1985 pool verification, etc.); grade B+/A- -> A (no code change required); A-|2026-04-20: verified by current tests -> ecotone runtime pass emits transition graph data with pass contract",A,RUNTIME_PRIMARY,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
895,terrain_ecotone_graph.py,register_bundle_j_ecotones_pass,205,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,,,,,,—,—,—,A,NEW,,,,A-|2026-04-20: verified by current tests -> declarative Bundle J ecotone pass registration,A,RUNTIME_PRIMARY,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
896,terrain_horizon_lod.py,compute_horizon_lod,34,—,—,—,—,—,—,—,—,—,—,B,,Prior: B+," Standard silhouette-preserving downsample. [`scipy.ndimage.maximum_filter`](https://docs.scipy.org/doc/scipy/reference/generated/scipy.ndimage.maximum_filter.html) + slicing, or [`skimage.measure.blo"," Block max-pool from `(src_h, src_w)` to `(out_res, out_res)` where `out_res = min(target_res, src_min // 64)`. Per-block max preserves silhouette.",(severity MEDIUM):,,polish,—,—,—,B,NEW,,,C+|BUG-R8-A6-014: bias computed from screen-space projected size — does not account for camera FOV,,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
897,terrain_horizon_lod.py,build_horizon_skybox_mask,129,—,—,—,—,—,—,—,—,—,—,A,,Prior: A-,," Vectorized azimuth-bin max-elevation-angle profile via `np.maximum.at(profile, flat_bins, flat_elev)`. Math is correct.",(severity HIGH — wiring):," Wire into `pass_horizon_lod`; emit profile to `side_effects` or to a new `stack.horizon_profile` channel; clamp `vz >= terrain.sample(vx,vy) + 1.0`.",blocker,—,—,—,D,NEW,,,A-|2026-04-20: wiring confirmed fixed — pass_horizon_lod writes result to stack.set(horizon_elevation_angles) and stack.set(lod_bias); both channels declared in produced_channels contract. Original D complaint (hints dict discard) no longer reproduces in current tree.,"A|2026-04-23 Phase-D: R9 note documents canonical upgrade from lower grade; grade jump D/A- -> A (R9 is authoritative post-upgrade assessment with citation); A-|2026-04-20: wiring confirmed - stack.set(lod_bias) at line 252, vectorized horizon profile",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
898,terrain_horizon_lod.py,pass_horizon_lod,240,—,—,—,—,—,—,—,—,—,—,A,,Prior: A-,," Calls `compute_horizon_lod` to get a silhouette grid, then upsamples it back to full resolution via biased integer NN to produce `stack.lod_bias`.",(severity MEDIUM):," Store `lod_bias` at `out_res` resolution, not upsampled; use bilinear when consumer wants per-vertex bias. Wire `build_horizon_skybox_mask` into the pass.",polish,—,—,—,B-,NEW,,,,A|2026-04-23 Phase-D: R9 note documents canonical upgrade from lower grade; grade jump B-/A- -> A (R9 is authoritative post-upgrade assessment with citation); A-|2026-04-20: confirmed fully wired — stack.set(lod_bias) written from NN-upsampled silhouette bias; stack.set(horizon_elevation_angles) written from build_horizon_skybox_mask; both in produced_channels; PassResult metrics include horizon_elevation_max/min_rad and skybox_profiles. D wiring bug was pre-existing fix already in tree.,A-,RUNTIME_PRIMARY,AAA comparator: wired horizon helper; not a complete terrain streaming system.,,
899,terrain_horizon_lod.py,register_bundle_l_horizon_lod_pass,341,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,,,,,,—,—,—,A,NEW,,,,A-|2026-04-20: verified by current tests -> declarative horizon-LOD pass registration,A,RUNTIME_PRIMARY,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
900,terrain_banded.py,BandedHeightmap,88,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,,, None.,,,—,—,—,A,NEW,,,,A|2026-04-19: Frozen-safe dataclass with all five band arrays + composite + metadata dict.,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
901,terrain_banded.py,_coord_grids,121,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,,, None significant.,,,—,—,—,A,NEW,,,,A|2026-04-19: World-meter coord grids normalized to per-band period; seam-free tile sampling.,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
902,terrain_banded.py,_fbm_array,141,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,,, None.,,,—,—,—,A,NEW,,,,"A|2026-04-19: Vectorized fBm with H=0.85 Hurst exponent (persistence=0.5545), not naive 0.5.",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
903,terrain_banded.py,compute_anisotropic_breakup,243,—,—,—,—,—,—,—,—,—,—,C+,,Prior: B, Real anisotropic breakup (used by Gaea/Houdini) shears or stretches an existing noise field along a direction. It does not add new noise.," Generates a Gaussian noise field, shifts it by `int(shift  cos(angle))` in row and `int(shift  sin(angle))` in col via `np.roll`, then adds it scaled to the band.",(severity MEDIUM):," Replace with `terrain_banded_advanced.compute_anisotropic_breakup` (deterministic, no toroidal); rename one to disambiguate; use edge-repeat shift not `np.roll`.",important,—,—,—,C+,NEW,,,,B+|2026-04-19: upgraded C+ -> scipy affine_transform+gaussian_filter 6:1 anisotropy reflect padding,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
904,terrain_banded.py,apply_anti_grain_smoothing,462,—,—,—,—,—,—,—,—,—,—,A,,Prior: B+, [`scipy.ndimage.gaussian_filter`](https://docs.scipy.org/doc/scipy/reference/generated/scipy.ndimage.gaussian_filter.html) is what every AAA pipeline uses; box filter is a CS-101 mistake., `scipy.ndimage.uniform_filter` (box) with pure-numpy fallback (also box).,(severity MEDIUM):, Switch to Gaussian; force odd kernel size; replace fallback with separable convolution (`terrain_banded_advanced._convolve_1d_axis` works fine).,polish,—,—,—,B,NEW,,,,A|2026-04-19: Kuwahara filter via integral images O(HxW); radius mapped from strength 0-4.,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
905,terrain_banded.py,_generate_macro_band,512,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,,, None significant. The XOR `0xA5A5A5A5` is a fine seed-mixing trick.,,,—,—,—,A,NEW,,,,"A|2026-04-19: fBm+ridged multifractal blend, 8 octaves, H=0.85, ~1km period.",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
906,terrain_banded.py,_generate_meso_band,552,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,,, None.,,,—,—,—,A,NEW,,,,"A|2026-04-19: Domain-warped fBm, 8 octaves, ~150m period, H=0.85.",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
907,terrain_banded.py,_generate_micro_band,589,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,,, None.,,,—,—,—,A,NEW,,,,"A|2026-04-19: Ridged multifractal, 4 octaves, ~30m period, H=0.85.",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
908,terrain_banded.py,_generate_strata_band,620,—,—,—,—,—,—,—,—,—,—,C+,,Prior: A, Real strata bands in the heightfield should come from `compute_rock_hardness` projected into elevation deltas via `apply_differential_erosion` (which is dead). Sine bands are the lowest-effort approx," Pure sine wave along Y (`np.sin(freq  y_coords)`) broadcast to (H,W), plus low-amplitude fBm wobble. Result added to the composite as the ""strata band.""",(severity HIGH for the geology claim):,,important,—,—,—,C+,NEW,,,,B+|2026-04-19: upgraded C+ -> multi-layer geological strata log-normal thickness biome dip tables fBm wobble,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
909,terrain_banded.py,_generate_warp_field,708,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,,, None.,,,—,—,—,A,NEW,,,,"A|2026-04-19: Displacement magnitude of domain warp field, SDF-normalized, informational only.",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
910,terrain_banded.py,generate_banded_heightmap,737,—,—,—,—,—,—,—,—,—,—,A,,Prior: A-,, Orchestrates all 5 bands + composite via `BAND_WEIGHTS[biome_key]`  `vertical_scale_m`.,(severity LOW):, Warn on unknown biome; document that `vertical_scale_m` is a std multiplier not a peak-to-peak.,,—,—,—,A-,NEW,,,,"A|2026-04-19: Orchestrates all 5 bands, applies breakup/smoothing, composes with geological constraints.",A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
911,terrain_banded.py,compose_banded_heightmap,862,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,,,,,,—,—,—,A,NEW,,,,A|2026-04-19: Weighted sum + Laplacian ridge-rise/valley-sink geological plausibility constraints.,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
912,terrain_banded.py,pass_banded_macro,929,—,—,—,—,—,—,—,—,—,—,A,,Prior: B+,, Pass that generates a `BandedHeightmap` and writes its composite into `stack.height` honoring protected zones. Stashes the `BandedHeightmap` object via `state.banded_cache = {token: bands}` runtime a,(severity MEDIUM):,,polish,—,—,—,B,NEW,,,C+|BUG-R8-A4-010: band frequency hardcoded 8 bands/tile — ignores authored TerrainQualityProfile.band_count,"A|2026-04-19: Full PassResult contract, protected zones, region scope, band metadata in side_effects cache.",C+,KNOWN_DEGRADED|RUNTIME_PRIMARY,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Known numeric invariant failures.",,
913,terrain_banded.py,register_bundle_g_passes,1029,—,—,—,—,—,—,—,—,—,—,A,,Prior: A,,,,,,—,—,—,A,NEW,,,,A|2026-04-19: Registers banded_macro pass via TerrainPassController with complete PassDefinition.,A,RUNTIME_PRIMARY,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
914,terrain_region_exec.py,RegionExecutionReport,44,—,—,—,—,—,—,—,—,—,—,A,,"What it does: Container for results, padded region, wall-clock, rollback flag."," standard ""execution receipt"" pattern from Houdini PDG / Bazel."," Container for results, padded region, wall-clock, rollback flag.",,,,—,—,—,A,NEW,,,,,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
915,terrain_hierarchy.py,FeatureTier,28,—,—,—,—,—,—,—,—,—,—,A-,,Prior grade: (not graded),,,,,,—,—,—,A-,NEW,,,,,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
916,terrain_hierarchy.py,FeatureBudget,57,—,—,—,—,—,—,—,—,—,—,B+,,Prior grade: (not graded), UE5 HLOD budgets are per-cluster; Unity terrain uses tri budgets; Houdini Heightfield uses a feature-density budget.,,,,polish,—,—,—,B+,NEW,,,,,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
917,terrain_world_math.py,TileTransform,47,—,—,—,—,—,—,—,—,—,—,A,,Prior grade: (not graded), Houdini's `tile_transform` attribute; Decima's tile metadata; UE5 World Partition cell transform — all single-source-of-truth tile coordinate frames. This kills Bug #9 (`object_location` vs `position,,,,,—,—,—,A,NEW,,,,,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
918,terrain_mask_cache.py,_snapshot_produced_channels,316,—,—,—,—,—,—,—,—,—,—,A,,Prior grade: A (combined),,,,,,—,—,—,A,NEW,,,,,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
919,terrain_pass_dag.py,PassDAGError,24,—,—,—,—,—,—,—,—,—,—,A,,Prior: not graded individually.,,,,,,—,—,—,A,NEW,,,,,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
920,terrain_pass_dag.py,from_registry,164,—,—,—,—,—,—,—,—,—,—,A,,Prior: A (R5).,,,,,,—,—,—,A,NEW,,,,,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
921,terrain_pass_dag.py,names,178,—,—,—,—,—,—,—,—,—,—,A,,My grade: A — AGREE (trivial accessor).,,,,,,—,—,—,A,NEW,,,,,C+,ORPHAN_CANDIDATE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: no proven non-test/runtime caller in wiring audit.",,
922,terrain_protocol.py,ProtocolViolation,32,—,—,—,—,—,—,—,—,—,—,A,,My grade: A — exception with docstring. Trivial.,,,,,,—,—,—,A,NEW,,,,"A|2026-04-19: Structured exception with rule_number (1-7), severity (hard/soft), description fields; str=""rule_N/severity: msg"".",C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
923,terrain_protocol.py,enforce_protocol,285,—,—,—,—,—,—,—,—,—,—,A,,Prior: B+ (R5).,," Per-rule kwargs let tests opt-out; wraps a `(state, params, args, kwargs)` callable so all 7 gates fire pre-body.",,,polish,—,—,—,B+,NEW,,,,A|2026-04-19: Decorator runs all 7 gates with per-rule boolean toggles; wraps(fn) preserved.,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
924,terrain_semantics.py,ErosionStrategy,44,—,—,—,—,—,—,—,—,—,—,A,,Prior: not graded.,,,,,,—,—,—,A,NEW,,,,A-|2026-04-19: 3-value enum (EXACT/TILED_PADDED/TILED_DISTRIBUTED_HALO) with docstring explaining each strategy.,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
925,terrain_semantics.py,HeroFeatureRef,198,—,—,—,—,—,—,—,—,—,—,A,,Prior: A.,,,,,,—,—,—,A,NEW,,,,"A-|2026-04-19: frozen DC with feature_id, kind, world_position, radius. Correct reference spec.",C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
926,terrain_semantics.py,mark_dirty,837,—,—,—,—,—,—,—,—,—,—,A,,My grade: A — trivial set ops with content_hash invalidation.,,,,,,—,—,—,A,NEW,,,,,A,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
927,terrain_semantics.py,from_npz,1040,—,—,—,—,—,—,—,—,—,—,B+,,Prior B+ remains fair," but the old bug note is now stale. Current code restores dict-valued channels and the Unity/export scalar metadata that previously re-derived incorrectly on reload.""","Live code at `terrain_semantics.py:687-731` reconstructs the stack with `unity_export_schema_version`, `coordinate_system`, `height_min_m`, `height_max_m`, then restores array channels, provenance, dirty flags, schema version, and dict channels from the NPZ payload.",No direct AAA analog — persistence primitive,"Current tree now achieves the round-trip behavior the earlier audit asked for, including cross-coordinate/export metadata and dict-channel restoration.",Still trusts archive contents and offers only limited schema/migration validation; production hardening would add stronger archive checks.,Keep parity/regression tests; no urgent functional rewrite remains.,polish,—,—,—,B+,NEW,,,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
928,terrain_validation.py,check_cliff_silhouette_readability,960,—,—,—,—,—,—,—,—,—,—,F,,What it tries to do: flag low cliff coverage as a soft warning.,,," `ValidationIssue(severity=""warning"", category=""readability"", message=..., hard=False)` — the dataclass at `terrain_semantics.py:837–843` has `code, severity, location, affected_feature, message, remediation`. `category` and `hard` are not fields. `severity` only accepts `""hard""|""soft""|""info""`. Firs",,blocker,—,—,—,F,NEW,,,F|BUG-R8-A6-026: function exists but never called from any pass or export step — dead code,B+|2026-04-19: upgraded F -> BFS connected components + coverage check,B,HELPER_REACHABLE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy.",,
929,terrain_reference_locks.py,AnchorDrift,20,—,—,—,—,—,—,—,—,—,—,A,,Single-line RuntimeError subclass.,,,,,,—,—,—,A,NEW,,,,,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
930,terrain_reference_locks.py,AnchorDriftReport,25,—,—,—,—,—,—,—,—,—,—,A,,anchor_name + drifted + distance + tolerance + message. Clean.,,,,,,—,—,—,A,NEW,,,,,C+,NO_WIRING_ROW,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set.",,
931,terrain_reference_locks.py,lock_anchor,53,—,—,—,—,—,—,—,—,—,—,C+,,"Bug/Gap: uses module-level _LOCKED_ANCHORS dict (line 34). NOT thread-safe, NOT process-safe. Two parallel terrain-region jobs racing through lock_anchor will both see ""no prior lock"" and both register. The ""overwrites any prior lock"" semantics (line 40) silently destroys the other job's lock.",,," uses module-level `_LOCKED_ANCHORS` dict (line 34). NOT thread-safe, NOT process-safe. Two parallel terrain-region jobs racing through `lock_anchor` will both see ""no prior lock"" and both register. The ""overwrites any prior lock"" semantics (line 40) silently destroys the other job's lock.",,important,—,—,—,C+,NEW,,BUG-155: CONFIRMED,D+|BUG-R8-A7-038: module-global _LOCKED_ANCHORS mutable state across pipeline instances no automatic clear,B+|2026-04-19: confirmed B+ -> 3D Euclidean drift detection assert_anchor_integrity,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
932,terrain_reference_locks.py,unlock_anchor,63,—,—,—,—,—,—,—,—,—,—,B,,"Bug/Gap: pop(name, None) — silently ignores missing locks. Should at minimum log a warning when called on a non-locked anchor (probable bug indicator).",,," `pop(name, None)` — silently ignores missing locks. Should at minimum log a warning when called on a non-locked anchor (probable bug indicator).",,polish,—,—,—,B,NEW,,,,,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
933,terrain_reference_locks.py,clear_all_locks,68,—,—,—,—,—,—,—,—,—,—,B,,"Bug/Gap: test helper that nukes the global. If accidentally called in production code, all anchor locks vanish silently. Should be _clear_all_locks or guarded by a if not pytest_running: raise.",,," test helper that nukes the global. If accidentally called in production code, all anchor locks vanish silently. Should be `_clear_all_locks` or guarded by a `if not pytest_running: raise`.",,polish,—,—,—,B,NEW,,,,,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
934,terrain_reference_locks.py,is_locked,74,—,—,—,—,—,—,—,—,—,—,A,,Trivial dict membership.,,,,,,—,—,—,A,NEW,,,,,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
935,terrain_iteration_metrics.py,record_iteration,324,—,—,—,—,—,—,—,—,—,—,A,,Trivial stat update. Logic is correct; wiring is absent.,,,,,,—,—,—,A,NEW,,,D|BUG-R8-A12-017: metrics written to module-global dict — lost on addon reload; no persistence,,B-,TEST_ONLY_OR_UNWIRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner.",,
