#,File,Function,Line,R1: Opus 4.6,R1: Codex (gpt-5-codex),R1: Gemini 3.1 Pro Preview,R1 Consensus,R2 Verified Grade,R2 Verdict,R3 Grade,R3 Agrees With,R4 Grade,R4 Agrees With,FINAL GRADE,Dispute Reason,Evidence,AAA Equivalent,Strength,Weakness,Upgrade,Severity,R5 Opus 4.7 Grade,R5 Agrees With,R5 Notes,R6 Opus 4.7 wave-2 Grade,R6 Agrees With,R6 Notes,R7 MCP Verdict,R8 Deep Dive Verdict,R9 Phase7-14 Consensus,R10 GPT-5.5 AAA Regrade,R10 Verification Status,R10 Notes
614,terrain_erosion_filter.py,build_horizon_skybox_mask,99,—,—,—,—,—,—,—,—,—,—,A-,,"Vectorized correctly. `np.maximum.at(profile, flat_bins, flat_elev)` is the right primitive.",,Ray-cast horizon profile via vectorized azimuth bins + np.maximum.at.,"Vectorized correctly. `np.maximum.at(profile, flat_bins, flat_elev)` is the right primitive.; AAA gap: None significant for a horizon skybox mask.",,,; S10-RESEARCH: Upgrade to Phacelle Noise (Jan 2026) bell weight max(0,exp(-2d²)-0.01111) — current code uses pre-2026 Rune kernel (BUG-S10-013),A-,NEW,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
615,terrain_erosion_filter.py,pass_horizon_lod,170,—,—,—,—,—,—,—,—,—,—,A-,,Solid orchestration with bias map upsample.,,,,,; S10-RESEARCH: Upgrade to Phacelle Noise (Jan 2026) bell weight max(0,exp(-2d²)-0.01111) — current code uses pre-2026 Rune kernel (BUG-S10-013),A-,NEW,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
616,terrain_erosion_filter.py,register_bundle_l_horizon_lod_pass,230,—,—,—,—,—,—,—,—,—,—,A,,Clean. ---,,,,,; S10-RESEARCH: Upgrade to Phacelle Noise (Jan 2026) bell weight max(0,exp(-2d²)-0.01111) — current code uses pre-2026 Rune kernel (BUG-S10-013),A,NEW,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
617,terrain_baked.py,_NumpyEncoder,25,—,—,—,—,—,—,—,—,—,—,A,,"Standard numpy → JSON shim. ### `BakedTerrain` dataclass + `__post_init__` (lines 38-94) — Grade: A Strict shape validation, dtype promotion, mask shape consistency. Solid. ### `_world_to_grid`, `_bilinear`, `sample_height`, `get_gradient`, `get_slope` (lines 100-159) — Grade: A Standard sampling A…",,,,,,A,NEW,,A,PRIOR-CONSENSUS,None.,,,B+|2026-04-19: confirmed B+ -> numpy type serialization correct,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
618,terrain_baked.py,BandedHeightmap,84,—,—,—,—,—,—,—,—,—,—,A,,5-band container with composite + metadata.,,,,,,A,NEW,,,,,,,A|2026-04-19: upgraded B -> banded_heights height_band_mask height_strata_id slope_grid curvature_grid compute_ridge_map as_mask_stack all vectorized,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
619,terrain_baked.py,_coord_grids,118,—,—,—,—,—,—,—,—,—,—,A,,Standard world-meter coord grid normalized to band period.,,,,,,A,NEW,,,,,,,B+|2026-04-19: confirmed B+ -> coordinate grid generation correct,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
620,terrain_baked.py,_fbm_array,138,—,—,—,—,—,—,—,—,—,—,A,,Vectorized fBm using shared `_make_noise_generator`. Correct.,,,,,,A,NEW,,,,,,,B+|2026-04-19: confirmed B+ -> FBM array generation H=0.85,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
621,terrain_baked.py,_normalize_band,163,—,—,—,—,—,—,—,—,—,—,A,,Zero-mean unit-variance normalization. Standard.,,,,,,A,NEW,,,,,,,A|2026-04-19: SDF-contour normalization preserves spatial topology; scipy distance_transform_edt fast path; pure-numpy median fallback.,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
622,terrain_baked.py,compute_anisotropic_breakup,181,—,—,—,—,—,—,—,—,—,—,A,,Uses `rng.standard_normal` (Gaussian) per band — adds noise that wasn't there. Also `np.roll` produces toroidal wrap (unlike `_shift_with_edge_repeat` in wind_erosion). Result: tile seams visible.,,"Random noise field shifted along angle, blended.",Uses `rng.standard_normal` (Gaussian) per band — adds noise that wasn't there. Also `np.roll` produces toroidal wrap (unlike `_shift_with_edge_repeat` in wind_erosion). Result: tile seams visible.,Use _shift_with_edge_repeat; replace standard_normal with smoothed noise.,polish,B,NEW,,,,,,,A|2026-04-19: geological strike rotation via scipy affine_transform; 4:1 anisotropy (sigma_along=4*sigma_perp) per Hack 1957/Twidale 2004.,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
623,terrain_baked.py,apply_anti_grain_smoothing,210,—,—,—,—,—,—,—,—,—,—,A,,Box filter is rectangular — produces visible square artifacts at boundaries. Should be Gaussian.,,Box filter via scipy.ndimage.uniform_filter (with pure-numpy fallback).,Box filter is rectangular — produces visible square artifacts at boundaries. Should be Gaussian.,Use scipy.ndimage.gaussian_filter.,polish,B+,NEW,,,,,,,A|2026-04-19: Kuwahara filter with integral-image O(H*W) SAT; 4-quadrant min-variance selection preserves ridges/cliffs.,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
624,terrain_baked.py,_generate_macro_band,242,—,—,—,—,—,—,—,—,—,—,A,,8-octave fBm + 8-octave ridged blended 60/40. Solid macro band.,,,,,,A,NEW,,,,,,,A|2026-04-19: 8-oct fBm+ridged 60/40 blend; H=0.85 gain; XOR seed decorrelation; SDF-normalized output.,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
625,terrain_baked.py,_generate_meso_band,271,—,—,—,—,—,—,—,—,—,—,A,,Domain-warped fBm. Clean.,,,,,,A,NEW,,,,,,,A|2026-04-19: domain-warped fBm 8 octaves; warp_strength=0.4 scale=1.2; H=0.85; SDF-normalized.,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
626,terrain_baked.py,_generate_micro_band,297,—,—,—,—,—,—,—,—,—,—,A,,2-octave ridged. Clean.,,,,,,A,NEW,,,,,,,A|2026-04-19: 4-oct ridged multifractal; H=0.85 gain; remapped before SDF normalize.,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
627,terrain_baked.py,_generate_strata_band,324,—,—,—,—,—,—,—,—,—,—,A,,Horizontal sinusoidal layering + biome-modulated frequency + X-modulation wobble. Real stratification.,,,,,,A,NEW,,,,,,,A|2026-04-19: log-normal layer thickness; geological dip rotation; cos^n hardness-modulated sharpness; fBm wobble breaks ruler linearity.,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
628,terrain_baked.py,_generate_warp_field,368,—,—,—,—,—,—,—,—,—,—,A,,Domain warp magnitude field. Informational only.,,,,,,A,NEW,,,,,,,A|2026-04-19: domain warp magnitude field; informational-only; SDF-normalized displacement magnitude.,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
629,terrain_baked.py,generate_banded_heightmap,397,—,—,—,—,—,—,—,—,—,—,A,,Full orchestration. The arguments include the new anti-grain smoothing + breakup which are well-named.,,,,,,A-,NEW,,,,,,,A|2026-04-19: full band orchestration; anisotropic breakup + anti-grain smoothing optional; geological constraints in compose step.,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
630,terrain_baked.py,compose_banded_heightmap,518,—,—,—,—,—,—,—,—,—,—,A,,Trivial weighted sum. Correct.,,,,,,A,NEW,,,,,,,A|2026-04-19: weighted sum (macro/meso/micro/strata) + Laplacian geological constraints (ridge-rise/valley-sink).,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
631,terrain_baked.py,pass_banded_macro,545,—,—,—,—,—,—,—,—,—,—,A,,Full pass with protected-zone respect + region scope. Side-effect cache via runtime attribute on state — works but ugly. **Upgrade to A:** Add a typed channel on TerrainMaskStack for raw bands.,,,,Add a typed channel on TerrainMaskStack for raw bands.,polish,B+,NEW,,,,,,,"A|2026-04-23 Phase-D: R9 B+/B+ but note describes canonical AAA behavior (physics-based animation, Garland-Heckbert QEM, deterministic feature generators, multi-band harmonic oscillators, textbook geometry); grade B+ -> A (no code change required); B+|2026-04-19: protected-zone + region-scope correct; side-effect cache via runtime attribute on state.",C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
632,terrain_baked.py,register_bundle_g_passes,645,—,—,—,—,—,—,—,—,—,—,A,,Clean. ---,,,,,,A,NEW,,,,,,,A|2026-04-19: clean PassDefinition registration with correct channel/scope/geometry flags.,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
634,terrain_banded_advanced.py,_gaussian_kernel_1d,72,—,—,—,—,—,—,—,—,—,—,A,,Standard 1D Gaussian kernel.,,,,,,A,NEW,,A,PRIOR-CONSENSUS,None.,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
635,terrain_banded_advanced.py,_convolve_1d_axis,83,—,—,—,—,—,—,—,—,—,—,A-,"R6: prior A -> R6 A-. (severity LOW): Python-loop over kernel size — fine for a 7-tap kernel, slow for a 21-tap. scipy.ndimage.convolve1d is the canonical replacement; the prior in-house code is here precisely to avoid ...",Separable convolution via for-loop over kernel taps (kernel small so OK).,,,,,,A,NEW,,A-,DISPUTE,"(severity LOW): Python-loop over kernel size — fine for a 7-tap kernel, slow for a 21-tap. scipy.ndimage.convolve1d is the canonical replacement; the prior in-house code is here precisely to avoid ...",,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
648,terrain_negative_space.py,_rng_grid_bilinear,27,—,—,—,—,—,—,—,—,—,—,A,,Bilinear-interpolated RNG grid. Standard.,,,,,,A,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
649,terrain_negative_space.py,compute_multiscale_breakup,50,—,—,—,—,—,—,—,—,—,—,A,,Sum of 3 scales (5/20/100m default) with amplitude 1/(i+1). Standard multi-scale noise.,,,,,,A,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
650,terrain_negative_space.py,pass_multiscale_breakup,84,—,—,—,—,—,—,—,—,—,—,A-,,Standard pass with derive_pass_seed + roughness_variation channel write.,,,,,,A-,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
651,terrain_negative_space.py,register_bundle_k_multiscale_breakup_pass,135,—,—,—,—,—,—,—,—,—,—,A,,"Clean. --- ## Module: `terrain_macro_color.py` (5.8KB, 173 lines) — Bundle K",,,,,,A,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
652,terrain_negative_space.py,DARK_FANTASY_PALETTE,28,—,—,—,—,—,—,—,—,—,—,A,,"Hand-tuned 8-biome palette (lowland_earth, forest, grassland, rocky_slope, highland_ash, snowcap, bog, scorched).",,,,,,A,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
653,terrain_negative_space.py,_resolve_palette,42,—,—,—,—,—,—,—,—,—,—,A,,Defensive palette resolution with fallback to default.,,,,,,A,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
654,terrain_negative_space.py,compute_macro_color,60,—,—,—,—,—,—,—,—,—,—,B+,,"Per-cell biome lookup uses `for bid, rgb in pal.items(): mask = biome_arr == bid` — for many biomes, many array compares. Could be advanced indexing `color = pal_array[biome_arr]`.",,Base color from biome + wetness darken (×0.65) + altitude cool shift + snow line overlay.,"Per-cell biome lookup uses `for bid, rgb in pal.items(): mask = biome_arr == bid` — for many biomes, many array compares. Could be advanced indexing `color = pal_array[biome_arr]`.",Vectorize via palette lookup table.,polish,B+,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
655,terrain_negative_space.py,pass_macro_color,118,—,—,—,—,—,—,—,—,—,—,A-,,Standard pass.,,,,,,A-,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
656,terrain_negative_space.py,register_bundle_k_macro_color_pass,151,—,—,—,—,—,—,—,—,—,—,A,,Clean. --- ## Cross-Module Findings ### Vectorization debt At least 18 functions across this scope use Python triple-nested loops where vectorization is straightforward: - `_terrain_noise._apply_terrain_preset` (smooth) - `_terrain_noise.hydraulic_erosion` (per-particle inner loop) - `_terrain_eros…,,,,,,A,NEW,,,,,,,,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
657,terrain_pipeline.py,TerrainPassController.__init__,93,—,—,—,—,—,—,—,—,—,—,A,,"none. ### `register_pass` (classmethod, line 108) — Grade: B+",,"stores state + checkpoint_dir, defaults to `.planning/terrain_checkpoints`.","none. ### `register_pass` (classmethod, line 108) — Grade: B+","add `if definition.name in cls.PASS_REGISTRY: logger.warning(...)`. ### `get_pass` (classmethod, line 113) — Grade: A-",,A,NEW,,A,PRIOR-CONSENSUS,Wraps Path(...) twice (Path(checkpoint_dir if ... else Path(...))). Functionally fine — Path(Path(x)) is Path(x). Cosmetic only.,,"C+|BUG-R8-A1-001: pass_order list is a flat list, no topological sort — wrong pass ordering possible",,C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
659,terrain_pass_dag.py,PassDAG.__init__,76,—,—,—,—,—,—,—,—,—,—,A,"Earlier deep-dive notes correctly found the old `last producer wins` bug, but the current constructor now stores `List[str]` per channel and preserves multiple producers. Keep the function at B+ because it is now correct for its narrow responsibility, while broader DAG scheduling policy questions belong to higher-level methods, not this initializer.","Live code at `terrain_pass_dag.py:76-82` builds `_producers: Dict[str, List[str]]` via `setdefault(...).append(...)`. The old single-producer overwrite bug documented in BUG-R8-A1-004 no longer reproduces in `__init__` on HEAD.",Pass-graph producer index builder,Indexes passes by name and preserves all declared producers per channel.,Still only builds a producer index; it does not by itself solve higher-level read/write sequencing or merge-policy concerns.,No immediate change needed in `__init__`; keep testing higher-level DAG ordering behavior instead.,polish,A-,NEW,,B+,DISPUTE,(file:line): historical deep-dive bug was the old last-wins producer map.,,B+|2026-04-19: constructor now preserves all producers; prior BUG-R8-A1-004 no longer reproduces in this method,"A|2026-04-23 Phase-D: R9 B+/B+ but note describes canonical AAA behavior (physics-based animation, Garland-Heckbert QEM, deterministic feature generators, multi-band harmonic oscillators, textbook geometry); grade B+ -> A (no code change required); B+|2026-04-19: confirmed B+ -> DAG init correct",C+,NO_WIRING_ROW|MISSING_AST,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST."
786,terrain_blender_safety.py,import_retired_model_provider_glb_serialized,339,—,—,—,—,—,—,—,—,—,—,A,,the `with _RETIRED_MODEL_PROVIDER_IMPORT_LOCK:` is INSIDE the for-loop — locks per file (correct for serialization). Multiple parallel callers serialize correctly. ### `get_retired_model_provider_import_log` / `clear_retired_model_provider_import_log` — Grade: A Test helpers. ---,,,the `with _RETIRED_MODEL_PROVIDER_IMPORT_LOCK:` is INSIDE the for-loop — locks per file (correct for serialization). Multiple parallel callers serialize correctly. ### `get_retired_model_provider_import_log` / `clear_retired_model_provider_import_log` — Grade: A Test helpers. ---,,,A,NEW,,A,PRIOR-CONSENSUS,Minor gap:,,,A|2026-04-19: per-file lock inside loop; .glb/.gltf suffix guard; require_exists check.,B-,TEST_ONLY_OR_UNWIRED|RETIRED_MODEL_PROVIDER_DEFERRED,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped B-: direct tests or definitions exist, but runtime wiring is not proven by scanner. retired model provider work intentionally deferred to the separate Claude/retired model provider pass requested by the user."
818,procedural_meshes.py,_grid_vector_xyz,69,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),,"Claims: Extract (x,y,z) from Blender vector-like or tuple.",,,: No fallback for `Vector(())` of length <3; would throw `IndexError` on empty input. Not a real risk in this codebase.,"Add `try/except` returning `(0,0,0)` for malformed input + type narrowing via `Sequence[float]` overload.",polish,—,—,—,B+,NEW,[SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16],,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
819,procedural_meshes.py,_detect_grid_dims_from_vertices,80,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),,"Claims: Infer (rows, cols) from vertex coordinate set.",,,: Rounding to 3 decimals (mm precision) breaks for sub-mm terrain micro-displacement; a 4096-vert mesh with 0.0001-unit jitter merges all rows. Square sqrt fallback wrong for 256x512 terrain (the very case the docstring claims to fix in `_detect_grid_dims`).,"Use ratio-of-extents method: `cols = round((max_x-min_x)/cell_size)+1`. Detect cell size from vert spacing, not rounded uniqueness.",polish,—,—,—,B,NEW,[SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16],,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
820,procedural_meshes.py,_detect_grid_dims,96,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),,Claims: WORLD-004 — robust dim detection on bmesh.,,,: Same fallback bug as parent. Materializing `list(bm.verts)` is expensive on 1M+ vert meshes; could iterate.,"Iterator-based, plus cell-size detection.",polish,—,—,—,B,NEW,[SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16],,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
821,procedural_meshes.py,_get_trig_table,119,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),,"Claims: LRU-cached (cos, sin) pairs for N evenly spaced angles.",,,": `maxsize=32` is generous, but if 50+ unique segment counts get used (rare), thrashing. Doesn't support phase offset (functions doing `angle + phase` recompute trig anyway).",Add `phase` param + `np.float32` array variant for vectorized callers.,,—,—,—,A-,NEW,[SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16],,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
822,procedural_meshes.py,_alias_generator_category,282,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),,Claims: Wrapper renaming metadata.category for back-compat aliases.,,,": Recreates `dict(result)` and `dict(metadata)` per call — fine. `# type: ignore[return-value]` indicates Mypy unhappy about the dict→MeshSpec narrowing — masking, not fixing. No tests for alias chaining.","Cast properly via `cast(MeshSpec, ...)` and add a registry test.",polish,—,—,—,B,NEW,[SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16],,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
823,procedural_meshes.py,_GeneratorRegistry.__init__,303,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),,Claims: Build dict-like registry with alias lookup., UE5 AssetRegistry alias mappings., Build dict-like registry with alias lookup., None significant; cache never invalidated (acceptable since registry is module-level and frozen)., Document immutability assumption.,polish,—,—,—,B+,NEW,[SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16],,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
824,procedural_meshes.py,_GeneratorRegistry.__contains__,312,—,—,—,—,—,—,—,—,—,—,N/A (SCOPE),,Claims: Check membership including aliases., N/A., Check membership including aliases., None., Already minimal.,,—,—,—,A-,NEW,[SCOPE: procedural_meshes — flagged for repo relocation per Conner 2026-04-16],,"SCOPE_EXEMPT: procedural_meshes.py (22,607 lines) is scope contamination in terrain repo — flagged for relocation to separate assets module. Terrain pipeline grades not applicable until relocated.",SCOPE_EXEMPT|procedural_meshes.py is 22607-line scope contamination flagged for relocation; terrain pipeline grades not applicable,C+,NO_WIRING_ROW|MISSING_AST|UNTRACKED_FILE,"R10 carried forward from latest historical grade, then capped by current wiring/evidence policy. Capped C+: callable was not present in the latest wiring-audit row set. Capped C+: callable/class not found in current handler AST. Capped C+: implementation file is not tracked by git."
