# Summary: audited §11.1-§11.5 against main HEAD 3cc63c55ed04df7035c1c06a8cc754e20a0b1ce1 using git show main:<file> blobs only.
# Scope parsed 136 PR table rows, including active rows, moved/deferred trace rows, and Block 5 sub-block rows. Output contains 253 TSV records:
# 206 cite/file records plus 47 NO_CITE PR rows. Status totals: VALID=56, STALE=40, OUT_OF_FILE=6, NEW_FILE_NOT_ON_MAIN=104, NO_CITE=47.
# Compared with CODEX1 baseline (23 valid / 39 stale / 3 out-of-file / 61 no-cite), raw valid count improved by +33 and all-record valid ratio rose
# from 18.3% to 22.1%. True line/file-record quality did not improve: VALID among cite/file records fell from 35.4% baseline to 27.2% because
# Phase 4 added many not-yet-on-main rows and several older stale anchors survived restructure. So answer is mixed: yes, more anchors are now
# verified; no, §11 is not cite-clean enough for autonomous dispatch without repair. Residual stale cites escaping fixes include PR #3
# handlers/terrain_pipeline.py:1449,1510; #5a handlers/terrain_water_variants.py:781,878; #5b terrain_unity_export.py:2270,2278; #8
# handlers/terrain_pipeline.py:940,956; #11 providers/hunyuan3d2_provider.py:274 and handlers/asset_generation.py:699,706; #12
# handlers/terrain_unity_export.py:2484,2510; #15 handlers/terrain_cliffs.py:2397; #16 terrain_stratigraphy.py:1069; #23
# handlers/environment.py:4630,4689 and :5237; #24 terrain_cliffs.py:890; #29 terrain_pipeline.py:1133,1191; #34
# handlers/terrain_checkpoints.py:97,102; #35 handlers/terrain_pipeline.py:992,999; #36 profile instance cites; #43 vegetation/procedural grass;
# #45 handlers/environment.py:2861; #62 water-depth cites; #65 dead-RNG cleanup cites; B5-U2/B5-U3/B5-U4 importer cites; B5-T1 visual QA; B5-A4
# asset-budget cites; and B5-DOC2 backfill cites. Phase 4 focus rows B5-U-NAV, B5-U15-U22, B5-C7-C12, B5-D5-D8, B5-T8-T10, and #65 are mostly
# NEW_FILE_NOT_ON_MAIN or no-line documentation; expected, but they need stronger caveats before agents treat them as main anchors. Highest-risk
# repair order: stale surgical-code rows first, then out-of-file rows, then Phase 4 NEW rows. Do not dispatch PR owners from rows marked STALE,
# OUT_OF_FILE, or NO_CITE unless the PR packet explicitly says the cite is historical/negative evidence rather than the edit target.
pr_number	pr_title	spec_cite	actual_path_on_main	actual_line_or_status	status	notes
38	feat(chunks): edge-vert sharing assert (chunk[i,j].east == chunk[i+1,j].west)	tests/test_edge_vert_sharing.py	veilbreakers_terrain/tests/test_edge_vert_sharing.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
38	feat(chunks): edge-vert sharing assert (chunk[i,j].east == chunk[i+1,j].west)	tests/test_edge_vert_sharing.py	veilbreakers_terrain/tests/test_edge_vert_sharing.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
39	feat(chunks): edges.json writer + reader + N/S/E/W feature-thread schema	edges.json:2	edges.json	file missing on main	NEW_FILE_NOT_ON_MAIN	file absent on main; Phase/new-file documentation row or explicit NEW/does-not-exist note
40	feat(splat): seam re-normalize across chunk boundary (sum-to-1.0)	unity_export_v2/splat_layers.py:2	unity_export_v2/splat_layers.py	file missing on main	NEW_FILE_NOT_ON_MAIN	file absent on main; Phase/new-file documentation row or explicit NEW/does-not-exist note
41	feat(asset-budget): BC6H/BC7/BC5 compression enforcement	unity_export_v2/texture_compression.py	unity_export_v2/texture_compression.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
41	feat(asset-budget): BC6H/BC7/BC5 compression enforcement	tests/test_texture_compression_enforced.py	veilbreakers_terrain/tests/test_texture_compression_enforced.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
42	feat(asset-budget): missing emitters (splatsecondary.png, holes.png, flowmap.png RG16, triplanarmask.png, vertexao.bin, per-layer albedo/normal/mask/height/detail.png)	splat_secondary.png	splat_secondary.png	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
42	feat(asset-budget): missing emitters (splatsecondary.png, holes.png, flowmap.png RG16, triplanarmask.png, vertexao.bin, per-layer albedo/normal/mask/height/detail.png)	holes.png	holes.png	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
42	feat(asset-budget): missing emitters (splatsecondary.png, holes.png, flowmap.png RG16, triplanarmask.png, vertexao.bin, per-layer albedo/normal/mask/height/detail.png)	flow_map.png	flow_map.png	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
42	feat(asset-budget): missing emitters (splatsecondary.png, holes.png, flowmap.png RG16, triplanarmask.png, vertexao.bin, per-layer albedo/normal/mask/height/detail.png)	triplanar_mask.png	triplanar_mask.png	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
42	feat(asset-budget): missing emitters (splatsecondary.png, holes.png, flowmap.png RG16, triplanarmask.png, vertexao.bin, per-layer albedo/normal/mask/height/detail.png)	vertex_ao.bin	vertex_ao.bin	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
42	feat(asset-budget): missing emitters (splatsecondary.png, holes.png, flowmap.png RG16, triplanarmask.png, vertexao.bin, per-layer albedo/normal/mask/height/detail.png)	albedo/normal/mask/height/detail.png	albedo/normal/mask/height/detail.png	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
42	feat(asset-budget): missing emitters (splatsecondary.png, holes.png, flowmap.png RG16, triplanarmask.png, vertexao.bin, per-layer albedo/normal/mask/height/detail.png)	unity_export_v2/chunk_artifacts.py	unity_export_v2/chunk_artifacts.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
42	feat(asset-budget): missing emitters (splatsecondary.png, holes.png, flowmap.png RG16, triplanarmask.png, vertexao.bin, per-layer albedo/normal/mask/height/detail.png)	holes.png	holes.png	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
42	feat(asset-budget): missing emitters (splatsecondary.png, holes.png, flowmap.png RG16, triplanarmask.png, vertexao.bin, per-layer albedo/normal/mask/height/detail.png)	flow_map.png	flow_map.png	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
42	feat(asset-budget): missing emitters (splatsecondary.png, holes.png, flowmap.png RG16, triplanarmask.png, vertexao.bin, per-layer albedo/normal/mask/height/detail.png)	vertex_ao.bin	vertex_ao.bin	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
42	feat(asset-budget): missing emitters (splatsecondary.png, holes.png, flowmap.png RG16, triplanarmask.png, vertexao.bin, per-layer albedo/normal/mask/height/detail.png)	tests/test_chunk_artifacts_complete_18.py	veilbreakers_terrain/tests/test_chunk_artifacts_complete_18.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
43	fix(asset-budget): lodmeshes == [] validator + block manifest emission	vegetation_system.py:1561,1600	veilbreakers_terrain/handlers/vegetation_system.py	1561,1600	VALID	"line window matches cite intent tokens asset,manifest,emission,mode; actual: 1561: dict with at least ``mesh_asset_path``, ``lod_meshes``, ``category`` | 1600: entry.setdefault(""lod_meshes"", [])"
43	fix(asset-budget): lodmeshes == [] validator + block manifest emission	vegetation_system.py:1284	veilbreakers_terrain/handlers/vegetation_system.py	1284	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 1284: # Pure-logic spec mode — no Blender required
43	fix(asset-budget): lodmeshes == [] validator + block manifest emission	procedural_grass.py:685	veilbreakers_terrain/handlers/procedural_grass.py	685	VALID	"line window matches cite intent tokens mode,asset; actual: 685: ""lod_meshes"": [],"
43	fix(asset-budget): lodmeshes == [] validator + block manifest emission	procedural_grass.py:720	veilbreakers_terrain/handlers/procedural_grass.py	720	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 720: 
44	feat(unity-export): streaming budget hard cap (2 GB chunk-artifact + per-chunk file count)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
45	fix(pipeline): passhydrology insert cite correction	handlers/environment.py:2861	veilbreakers_terrain/handlers/environment.py	2861	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 2861: )
45	fix(pipeline): passhydrology insert cite correction	handlers/environment.py:3	veilbreakers_terrain/handlers/environment.py	3	VALID	negative/historical wrong-cite claim verified: line exists but does not match claimed target; actual: 3: Provides terrain/environment command handlers:
46	feat(pipeline): Rule-1 gate restored on scene-read (consumes #3 toposort overrides)	handlers/_rule1_gate.py	veilbreakers_terrain/handlers/_rule1_gate.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
46	feat(pipeline): Rule-1 gate restored on scene-read (consumes #3 toposort overrides)	tests/test_rule1_gate_active.py	veilbreakers_terrain/tests/test_rule1_gate_active.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
47	feat(perf): create parallelmerge.py with thread-safe attribute-bypass write pattern (per §8.4 atomic-float ban)	_parallel_merge.py	_parallel_merge.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
47	feat(perf): create parallelmerge.py with thread-safe attribute-bypass write pattern (per §8.4 atomic-float ban)	handlers/_parallel_merge.py	veilbreakers_terrain/handlers/_parallel_merge.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
47	feat(perf): create parallelmerge.py with thread-safe attribute-bypass write pattern (per §8.4 atomic-float ban)	_parallel_merge.py	_parallel_merge.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
47	feat(perf): create parallelmerge.py with thread-safe attribute-bypass write pattern (per §8.4 atomic-float ban)	tests/test_parallel_merge_safe.py	veilbreakers_terrain/tests/test_parallel_merge_safe.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
48	fix(unity-export): consolidate writer edits — explicit dep chain #11 → #12 → #44 → #5b → #48	tests/test_unity_export_metadata_29_fields.py	veilbreakers_terrain/tests/test_unity_export_metadata_29_fields.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
6	fix(foliage): aligntonormal default False (kill diagonal-trunk bug) — moved from Block 1 per Phase 2 Fix 2.2	handlers/terrain_advanced.py:2652	veilbreakers_terrain/handlers/terrain_advanced.py	2652	STALE	"matches CODEX1 classification after git-show reprobe; ""line exists, but probe does not match row claim; actual: 2652: object_names = params.get(""""object_names"""", [])"""
7	fix(chunking): chunkworldsize default 512m — moved from Block 1 per Phase 2 Fix 2.2	handlers/terrain_chunking.py:100	veilbreakers_terrain/handlers/terrain_chunking.py	100	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
10	perf(shadow): bytes += scanline → io.BytesIO() — moved from Block 1 per Phase 2 Fix 2.2	handlers/terrain_shadow_clipmap_bake.py:317,322	veilbreakers_terrain/handlers/terrain_shadow_clipmap_bake.py	317,322	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
49	DEFERRED to v1.1 (post-pilot) per Phase 2 Fix 2.3 — proceduralmeshes.py relocation (XL refactor, 22,816 LOC) is not pilot-blocking. See §11.8 #13.	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
50	DEFERRED to v1.1 (post-pilot) per Phase 2 Fix 2.3 — animation-modules relocation (L refactor, ~3K LOC) is not pilot-blocking. See §11.8 #13.	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
51	DEFERRED to v1.1 (post-pilot) per Phase 2 Fix 2.3 — terraincore.py extraction (M refactor) is not pilot-blocking; PRs #14/#52/#54 dependents folded into deferral. See §11.8 #13.	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
52	DEFERRED to v1.1 (post-pilot) per Phase 2 Fix 2.3 — terrainsemantics.py 82-importer split (L refactor) is not pilot-blocking. See §11.8 #13.	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
53	DEFERRED to v1.1 (post-pilot) — environment.py 5-seam split moved out of Block 4 to §11.8. XL refactor is not pilot-blocking; PRs #23/#25/#45 surgical edits would be invalidated by mid-pilot split. See §11.8 #12.	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
54	DEFERRED to v1.1 (post-pilot) per Phase 2 Fix 2.3 — terrainfeatures.py 9-seam split (XL refactor) is not pilot-blocking. See §11.8 #13.	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
55	chore(deletes): locked-list — 47 deprecated scripts + stale audit docs + monolithic output/visualnodes/	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
56	fix(vegetation): repair vegetationsystem.py defaults so #55 can delete safely	handlers/vegetation_system.py:1561,1600	veilbreakers_terrain/handlers/vegetation_system.py	1561,1600	VALID	"line window matches cite intent tokens defaults,mode,manifest; actual: 1561: dict with at least ``mesh_asset_path``, ``lod_meshes``, ``category`` | 1600: entry.setdefault(""lod_meshes"", [])"
56	fix(vegetation): repair vegetationsystem.py defaults so #55 can delete safely	handlers/vegetation_system.py:1284	veilbreakers_terrain/handlers/vegetation_system.py	1284	VALID	line window matches cite intent tokens pure,logic,mode; actual: 1284: # Pure-logic spec mode — no Blender required
56	fix(vegetation): repair vegetationsystem.py defaults so #55 can delete safely	handlers/vegetation_system.py:1534	veilbreakers_terrain/handlers/vegetation_system.py	1534	VALID	line window matches cite intent tokens manifest; actual: 1534: manifest_out_path = (
57	demote(ecology): per-biome scattering rules (mountain)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
58	demote(ecology): per-biome scattering rules (grassland)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
60	feat(quixel): linear-space blend verification	handlers/terrain_quixel_ingest.py:619	veilbreakers_terrain/handlers/terrain_quixel_ingest.py	619	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
61	feat(shader): HistogramPreservingBlend HLSL implements Heitz/Neyret Eq.8/11	terrain_stochastic_shader.py:51,265	veilbreakers_terrain/handlers/terrain_stochastic_shader.py	51,265	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
61	feat(shader): HistogramPreservingBlend HLSL implements Heitz/Neyret Eq.8/11	terrain_banded_advanced.py:542	veilbreakers_terrain/handlers/terrain_banded_advanced.py	out_of_file	OUT_OF_FILE	line outside main blob len=488; probe: 542: <OUT_OF_FILE len=488>
62	gate(W-1): verify passwaterdepth skip + close Issue #28 after test passes	handlers/terrain_pipeline.py:1275,1330	veilbreakers_terrain/handlers/terrain_pipeline.py	1275,1330	STALE	"line exists, but probe does not match row claim; actual: 1275: def pass_water_depth( | 1330: pass_name=""pass_water_depth"","
62	gate(W-1): verify passwaterdepth skip + close Issue #28 after test passes	handlers/terrain_pipeline.py:1306,1312	veilbreakers_terrain/handlers/terrain_pipeline.py	1306,1312	VALID	line window matches cite intent tokens skip,issue; actual: 1306: if ws_elev is None or height is None: | 1312: )
62	gate(W-1): verify passwaterdepth skip + close Issue #28 after test passes	terrain_pipeline.py:1306,1312	veilbreakers_terrain/handlers/terrain_pipeline.py	1306,1312	VALID	line window matches cite intent tokens skip,issue,height,return,passresult,status; actual: 1306: if ws_elev is None or height is None: | 1312: )
62	gate(W-1): verify passwaterdepth skip + close Issue #28 after test passes	terrain_water_variants.py:880	veilbreakers_terrain/handlers/terrain_water_variants.py	880	STALE	"matches CODEX1 classification after git-show reprobe; ""line exists, but probe does not match row claim; actual: 880: """"wet_cells"""": int(np.count_nonzero(wetness > 0.3)),"""
62	gate(W-1): verify passwaterdepth skip + close Issue #28 after test passes	terrain_water_variants.py:1463	veilbreakers_terrain/handlers/terrain_water_variants.py	1463	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 1463: (r_i, c_i - 1),
64	fix(unity-export): UNITYSCALEFACTOR 0.85 → 1.0 — character-rig hack incorrectly applied to mesh export per §8.1 Blender→Unity research	handlers/terrain_unity_export.py:31	veilbreakers_terrain/handlers/terrain_unity_export.py	31	VALID	line window matches cite intent tokens export,applied,changed; actual: 31: UNITY_SCALE_FACTOR: float = 0.85
64	fix(unity-export): UNITYSCALEFACTOR 0.85 → 1.0 — character-rig hack incorrectly applied to mesh export per §8.1 Blender→Unity research	handlers/terrain_unity_export.py:39,41,42,331,1014,1441,2171,2843	veilbreakers_terrain/handlers/terrain_unity_export.py	39,41,42,331,1014,1441,2171,2843	VALID	"line window matches cite intent tokens export,applied; actual: 39: """"""Multiply v by UNITY_SCALE_FACTOR.  Supports scalar or list-of-float."""""" | 41: return [x * UNITY_SCALE_FACTOR for x in v] | 42: return float(v) * UNITY_SCALE_FACTOR | 331: Unity can apply the inverse transform.  UNITY_SCALE_FACTOR (0.85) is | 1014: ""unity_scale_factor"": UNITY_SCALE_FACTOR, | 1441: ""height_scale_factor"": manifest.get(""height_scale_factor"", UNITY_SCALE_FACTOR),"
64	fix(unity-export): UNITYSCALEFACTOR 0.85 → 1.0 — character-rig hack incorrectly applied to mesh export per §8.1 Blender→Unity research	handlers/terrain_unity_export.py:1	veilbreakers_terrain/handlers/terrain_unity_export.py	1	VALID	"line window matches cite intent tokens export; actual: 1: """"""Bundle J — terrain_unity_export."
65	chore(rng): delete 3 dead-RNG instantiations (Fix 4.10)	terrain_features.py:2169	veilbreakers_terrain/handlers/terrain_features.py	2169	VALID	line window matches cite intent tokens random; actual: 2169: Returns
65	chore(rng): delete 3 dead-RNG instantiations (Fix 4.10)	terrain_waterfalls.py:2280	veilbreakers_terrain/handlers/terrain_waterfalls.py	2280	STALE	line exists, but probe does not match row claim; actual: 2280: apply_bank_asymmetry,
65	chore(rng): delete 3 dead-RNG instantiations (Fix 4.10)	terrain_materials_v2.py:1046,1047	veilbreakers_terrain/handlers/terrain_materials_v2.py	1046,1047	STALE	"line exists, but probe does not match row claim; actual: 1046: ""ROCK_NORMAL_THRESHOLD"", | 1047: ""compute_normal_z"","
65	chore(rng): delete 3 dead-RNG instantiations (Fix 4.10)	tests/test_dead_rng_cleanup.py	veilbreakers_terrain/tests/test_dead_rng_cleanup.py	file missing on main	NEW_FILE_NOT_ON_MAIN	Phase 4 new/missing file path has no numeric line; expected documentation flag
B5-U1	feat(unity): integrate MicroSplat HDRP 2022 + Mesh Terrains ($40, RECOMMENDED) OR author custom HDRP shader graph stack ([AUTO-APPLIED — Decision 3.2 / pending user override])	OverlayDynamic}.shadergraph	OverlayDynamic}.shadergraph	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-U1	feat(unity): integrate MicroSplat HDRP 2022 + Mesh Terrains ($40, RECOMMENDED) OR author custom HDRP shader graph stack ([AUTO-APPLIED — Decision 3.2 / pending user override])	acceptance_checks.py	acceptance_checks.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-U1	feat(unity): integrate MicroSplat HDRP 2022 + Mesh Terrains ($40, RECOMMENDED) OR author custom HDRP shader graph stack ([AUTO-APPLIED — Decision 3.2 / pending user override])	acceptance_checks.py	acceptance_checks.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-U2	feat(unity): instantiate HDRP WaterSurface from water.json	unity_project/Assets/Scripts/VbTerrainImporter.cs:1150,1153	unity_plugin/Editor/VbTerrainImporter.cs	1150,1153	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 1150: TerrainBundleDescriptor descriptor, | 1153: {
B5-U3	feat(unity): holes.png consumer (terrainData.SetHoles)	VbTerrainImporter.cs:1150,1153	unity_plugin/Editor/VbTerrainImporter.cs	1150,1153	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 1150: TerrainBundleDescriptor descriptor, | 1153: {
B5-U4	fix(unity): tangent-space normal Y-flip on import	VbTerrainImporter.cs:2097	unity_plugin/Editor/VbTerrainImporter.cs	2097	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 2097: {
B5-U4	fix(unity): tangent-space normal Y-flip on import	terrain_unity_export.py:334	veilbreakers_terrain/handlers/terrain_unity_export.py	334	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 334: 
B5-U5	feat(unity): edges.json edge-stitch contract (BOTH bake AND Unity sides)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-U6	feat(unity): vertex AO from vertexao.bin to vertex color	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-U7	feat(unity): HDRP DecalProjector instantiation from decals.json	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-U8	feat(unity): bind flowmap.png to River WaterSurface.currentMap	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-U9	feat(unity): caves/*.fbx import + GameObject child	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-U10	feat(unity): TerrainLayer height + detail PNGs bound (currently ignored)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-U11	feat(unity): real tree prefab loader (replace Capsule placeholder)	VbChunkLoader.cs:2152	VbChunkLoader.cs	file missing on main	NEW_FILE_NOT_ON_MAIN	file absent on main; not line-probeable against main
B5-U11	feat(unity): real tree prefab loader (replace Capsule placeholder)	VbChunkLoader.cs:2229	VbChunkLoader.cs	file missing on main	NEW_FILE_NOT_ON_MAIN	file absent on main; not line-probeable against main
B5-U12	feat(unity): foliage UV2 (lightmap) + UV3 (Pivot Painter wind) + vertex colors	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-U13	feat(unity): populate all 29 VbTerrainTileMetadata fields end-to-end	unity_plugin/VbTerrainTileMetadata.cs:29	unity_plugin/VbTerrainTileMetadata.cs	29	VALID	line window matches cite intent tokens fields,public; actual: 29: 
B5-U14	feat(unity): unknown-key warnings on raw manifest sidecars (audio/decals/water JSON)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-U-NAV	feat(unity): replace navmesh.json writer with Recast/Detour dtNavMesh.bin emit (Fix 4.1 — V2 BLOCKING gap; navmesh.json is data-only, lacks Recast off-mesh-link/area-cost runtime contract)	handlers/terrain_navmesh_export.py:580,606	veilbreakers_terrain/handlers/terrain_navmesh_export.py	580,606	VALID	line window matches cite intent tokens emit,navmesh,json,mesh,area,navigation; actual: 580: output_path.write_text( | 606: region: Optional[BBox],
B5-U-NAV	feat(unity): replace navmesh.json writer with Recast/Detour dtNavMesh.bin emit (Fix 4.1 — V2 BLOCKING gap; navmesh.json is data-only, lacks Recast off-mesh-link/area-cost runtime contract)	navmesh.json	navmesh.json	file missing on main	NEW_FILE_NOT_ON_MAIN	Phase 4 new/missing file path has no numeric line; expected documentation flag
B5-U-NAV	feat(unity): replace navmesh.json writer with Recast/Detour dtNavMesh.bin emit (Fix 4.1 — V2 BLOCKING gap; navmesh.json is data-only, lacks Recast off-mesh-link/area-cost runtime contract)	dtNavMesh.bin	dtNavMesh.bin	file missing on main	NEW_FILE_NOT_ON_MAIN	Phase 4 new/missing file path has no numeric line; expected documentation flag
B5-U-NAV	feat(unity): replace navmesh.json writer with Recast/Detour dtNavMesh.bin emit (Fix 4.1 — V2 BLOCKING gap; navmesh.json is data-only, lacks Recast off-mesh-link/area-cost runtime contract)	chunks/navmesh_recast.py	veilbreakers_terrain/chunks/navmesh_recast.py	file missing on main	NEW_FILE_NOT_ON_MAIN	Phase 4 new/missing file path has no numeric line; expected documentation flag
B5-U-NAV	feat(unity): replace navmesh.json writer with Recast/Detour dtNavMesh.bin emit (Fix 4.1 — V2 BLOCKING gap; navmesh.json is data-only, lacks Recast off-mesh-link/area-cost runtime contract)	tests/test_navmesh_recast_roundtrip.py	veilbreakers_terrain/tests/test_navmesh_recast_roundtrip.py	file missing on main	NEW_FILE_NOT_ON_MAIN	Phase 4 new/missing file path has no numeric line; expected documentation flag
B5-U15	feat(unity): APV (Adaptive Probe Volumes) brick streaming per chunk (Fix 4.15 — V3 BLOCKING gap; experimental in HDRP 14 / Unity 2022 LTS — risk documented in §11.7 #10)	unity_plugin/Editor/VbApvBaker.cs	unity_plugin/Editor/VbApvBaker.cs	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-U16	feat(unity): MeshDataArray + Burst chunk import (Fix 4.16 — Burst is NOT optional; required for native chunk import perf)	VbChunkLoader.cs	VbChunkLoader.cs	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-U16	feat(unity): MeshDataArray + Burst chunk import (Fix 4.16 — Burst is NOT optional; required for native chunk import perf)	tests/test_chunk_import_perf.py	veilbreakers_terrain/tests/test_chunk_import_perf.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-U17	feat(unity): DrawInstancedIndirect for foliage (Fix 4.22 — GPU-resident scatter buffer; replaces per-instance GameObject)	VbChunkLoader.cs	VbChunkLoader.cs	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-U17	feat(unity): DrawInstancedIndirect for foliage (Fix 4.22 — GPU-resident scatter buffer; replaces per-instance GameObject)	unity_plugin/VbFoliageInstancedRenderer.cs	unity_plugin/VbFoliageInstancedRenderer.cs	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-U18	feat(unity): static-batching contract for chunk meshes (Fix 4.23)	VbChunkLoader.cs	VbChunkLoader.cs	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-U19	feat(unity): BC7 desktop / ASTC mobile texture compression configuration (Fix 4.24)	unity_plugin/Editor/VbTextureCompressionPreset.cs	unity_plugin/Editor/VbTextureCompressionPreset.cs	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-U20	feat(unity): per-chunk runtime memory budget enforcer (memorybudgetmb field) (Fix 4.25)	VbChunkLoader.cs	VbChunkLoader.cs	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-U21	feat(unity): rasterized shadow cascade configuration for 4096m view distance + contact shadows (Fix 4.27)	_HDRPVolume.asset	_HDRPVolume.asset	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-U22	feat(unity): per-chunk reflection probe auto-placement (Fix 4.28; pairs with APV Fix 4.15)	unity_plugin/Editor/VbReflectionProbePlacer.cs	unity_plugin/Editor/VbReflectionProbePlacer.cs	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-C1	fix(coherence): unify water-channel naming registry + YAML safeload discipline (re-tagged 5b per Phase 2.5 Fix B — pilot-critical: lands BEFORE #28/#57/#58 YAML loaders)	handlers/terrain_channel_registry.py	veilbreakers_terrain/handlers/terrain_channel_registry.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-C1	fix(coherence): unify water-channel naming registry + YAML safeload discipline (re-tagged 5b per Phase 2.5 Fix B — pilot-critical: lands BEFORE #28/#57/#58 YAML loaders)	ruamel.yaml	ruamel.yaml	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
